matched_company_candidate,matched_brand,query_category,observed_market_region_codes,candidate_product_count,example_product_names
Cereal Partners Worldwide,Chocapic,cereals,FRANCE|DACH,1,chocapic
Cereal Partners Worldwide,Fitness,cereals,DACH|NORDICS|FRANCE,1,FITNESS Cerealien
Cereal Partners Worldwide,Fitness,cereals,BENELUX|FRANCE|DACH,1,Fitness Delice Céréales croustillantes avec un coeur aux fruits rouges
Cereal Partners Worldwide,Fitness,cereals,US_CANADA,1,Fitness fruits
Cereal Partners Worldwide,Fitness,snacks,US_CANADA,1,Fitness high protein bar
Cereal Partners Worldwide,Fitness,cereals,BENELUX|FRANCE,1,Fitness honing and amandes max
Danone,Activia,dairies,BENELUX|FRANCE|SOUTHERN_EUROPE,1,Activia bifidus saveur vanille sans arome artificiel 125 g x 4
Danone,Activia,dairies,FRANCE|SOUTHERN_EUROPE,1,Activia fibre kiwi cereales
Danone,Activia,dairies,UK_IE,1,activia
Danone,Activia,dairies,DACH|US_CANADA,1,activia
Danone,Alpro,beverages,NORDICS|FRANCE|DACH|UK_IE,1,"Alpro Sojadrink, Barista 1L"
Danone,Blédina,dairies,FRANCE|SOUTHERN_EUROPE,1,BLEDINA LES MINI LACTES 6x55g Nature sans sucre dès 6 mois
Danone,Blédina,cereals,FRANCE,1,BLEDINA LES RECOLTES BIO Muesli Nature 180g Dès 6 Mois
Danone,Blédina,beverages,FRANCE,1,Blédina Blédilait Ar 2
Danone,Danette,dairies,US_CANADA,1,Danette Chocolat - Délice - 100 g
Danone,Nutricia,beverages,FRANCE,1,Nutricia Fortimel Jucy Nutriment Saveur Tropical
Danone,Oikos,beverages,US_CANADA,1,Oikos Pro protein
Danone,Oikos,dairies,FRANCE,1,Oîkos
Danone,Silk,snacks,UK_IE,1,Silk bubbly
Danone,Silk,beverages,US_CANADA,1,Silk ultra unsweetened
Froneri,Drumstick,snacks,FRANCE,1,Drumstick Mixed Lolly Bag
Froneri,Extrême,snacks,UK_IE,1,Extreme Buldak ZZALDDUK
Froneri,Extrême,snacks,FRANCE|DACH,1,Extreme Dark 99%
Froneri,Extrême,beverages,UK_IE,1,Extreme Energy Blue Raspberry
Froneri,Extrême,snacks,DACH|US_CANADA,1,Extreme sour hard candy
Froneri,Mövenpick,beverages,FRANCE,1,Movenpick - Colombia lungo
Froneri,Mövenpick,dairies,FRANCE,1,"Mövenpick Feinjoghurt, Erdbeere"
Froneri,Mövenpick,beverages,FRANCE|DACH,1,Mövenpick-Kaffeebohnen
General Mills,Cheerios,snacks,US_CANADA,1,Cheerios
Keurig Dr Pepper,7UP,beverages,US_CANADA|FRANCE,1,7up
Keurig Dr Pepper,7UP,beverages,FRANCE|SOUTHERN_EUROPE|US_CANADA,1,"7up, free, flavoured soft drink with sweeteners, lemon and lime"
Keurig Dr Pepper,7UP,beverages,FRANCE|US_CANADA,1,"7up, free, soft drink, mojito"
Keurig Dr Pepper,Dr Pepper,beverages,US_CANADA|FRANCE,1,Dr Pepper
Keurig Dr Pepper,Dr Pepper,beverages,FRANCE|US_CANADA,1,Dr Pepper
Keurig Dr Pepper,Dr Pepper,beverages,FRANCE|DACH|US_CANADA,1,Dr pepper
Keurig Dr Pepper,Dr Pepper,snacks,FRANCE|US_CANADA,1,Dr. Pepper cotton candy
Kraft Heinz,Kool-Aid,beverages,US_CANADA,1,Kool aid bursts zero sugar berry blue
Kraft Heinz,Kool-Aid,snacks,US_CANADA,1,Kool-Aid CANDY
Kraft Heinz,Maxwell House,beverages,FRANCE,1,Maxwell House
Kraft Heinz,Maxwell House,dairies,FRANCE,1,Maxwell House - Vanilla latte
Nestle,Gerber,dairies,FRANCE|DACH,1,Gerber-Käsli
Nestle,Gourmet,cereals,US_CANADA|FRANCE,1,Gourmet Granola Nature
Nestle,Gourmet,snacks,FRANCE|US_CANADA,1,Gourmet quinoa chips snack
Nestle,Nescafé,beverages,NORDICS|FRANCE,1,Nescafé DG 16kaps /
Nestle,Nescafé,beverages,SOUTHERN_EUROPE|UK_IE,1,Nescafé classic
Nestle,Nespresso,beverages,DACH|US_CANADA,1,Nespresso
Nestle,Nespresso,beverages,FRANCE|US_CANADA,1,Nespresso carte noire décaféiné
Nestle,Nesquik,beverages,US_CANADA|FRANCE|DACH,1,"NESQUIK Poudre Cacaotée boîte 1,3kg"
Nestle,Nesquik,beverages,BENELUX|FRANCE|DACH,1,NESQUIK Poudre Cacaotée boîte 250g
Nestle,Nesquik,beverages,FRANCE,1,Nesquik
Nestle,Nesquik,beverages,FRANCE|SOUTHERN_EUROPE,1,Nesquik
Nestle,Nesquik,cereals,FRANCE|DACH,1,Nesquik Knusper-Frühstück
Nestle,Perrier,beverages,BENELUX|FRANCE,1,Perrier saveur peche
Nestle,S.Pellegrino,beverages,FRANCE,1,S.PELLEGRINO essenza
Nestle,Smarties,beverages,FRANCE,1,Smarties
Nestle,Smarties,snacks,UK_IE,1,Smarties Buttons
Nestle,Vittel,beverages,FRANCE,1,Vittel saveur pêche touche de gingembre
Nestlé,Acqua Panna,beverages,FRANCE|DACH,1,Acqua Panna
Nestlé,Aero,beverages,UK_IE,1,Aero Golden Honeycomb Mocha
Nestlé,Bakers,snacks,US_CANADA,1,Bakers best baked soft pretzels
Nestlé,Beyond,beverages,US_CANADA,1,Beyond Raw Lit
Nestlé,Boost,beverages,FRANCE|DACH,1,Boost
Nestlé,Boost,beverages,BENELUX|FRANCE|UK_IE,1,Boost Berry Rooibos Tea + Ginseng
Nestlé,Boost,snacks,FRANCE|UK_IE|US_CANADA,1,Boost Chocolate Bar
Nestlé,Boost,snacks,FRANCE|US_CANADA,1,Boost chocolate bar
Nestlé,Carnation,dairies,FRANCE|UK_IE,1,Carnation Light Condensed Milk 405G
Nestlé,Chef,beverages,US_CANADA,1,"Chef's Line, Spicy Ginger Beer"
Nestlé,Cini Minis,cereals,FRANCE,1,CINI MINIS
Nestlé,Corn Flakes,cereals,FRANCE|DACH|US_CANADA,1,Corn Flakes
Nestlé,Corn Flakes,cereals,US_CANADA|FRANCE,1,Corn Flakes Céréales
Nestlé,Corn Flakes,snacks,FRANCE,1,Corn flakes
Nestlé,Corn Flakes,cereals,SOUTHERN_EUROPE|UK_IE,1,Corn flakes
Nestlé,Corn Flakes,cereals,FRANCE|BENELUX,1,Corn flakes
Nestlé,Corn Flakes,cereals,SOUTHERN_EUROPE|US_CANADA,1,Corn flakes cereal
Nestlé,Damak,snacks,FRANCE,1,Damak baklava
Nestlé,Garden of Life,snacks,US_CANADA,1,"Garden Of Life, Perfect Food, Chocolate Covered Greens Bar, Chocolate Raspberry"
Nestlé,HENNIEZ,beverages,FRANCE,1,Henniez Ananas Pêche
Nestlé,Hépar,beverages,BENELUX|FRANCE|DACH,1,Hépar
Nestlé,Impact,beverages,SOUTHERN_EUROPE|UK_IE,1,Impact
Nestlé,Impact,dairies,US_CANADA,1,Impact Whey Protein
Nestlé,Impact,dairies,FRANCE|DACH,1,Impact Whey Protein
Nestlé,Impact,beverages,FRANCE|DACH,1,"Impact Whey Protein, Coffee Caramel"
Nestlé,Impact,snacks,FRANCE,1,Impact bar dark choc mint
Nestlé,La Vie,beverages,FRANCE|DACH,1,La Vie On Rose
Nestlé,Milkybar,snacks,US_CANADA,1,Milkybar
Nestlé,Milo,beverages,DACH|US_CANADA,1,milo
Nestlé,Munch,snacks,UK_IE,1,Munch Bars Peanut
Nestlé,Munch,dairies,FRANCE,1,Munch Bunch Squashum Strawberry And Raspberry 6X60g
Nestlé,Munch,dairies,UK_IE,1,Munch Bunch Squashums Yogurt Drinks Strawberry
Nestlé,Nestlé Pure Life,beverages,FRANCE|UK_IE,1,Nestle Pure Life
Nestlé,Nestlé Pure Life,beverages,US_CANADA,1,Nestle pure life revive
Nestlé,Nestum,beverages,FRANCE,1,Nestum 3-in-1 Cereal Milk Drink Original - 18X28G
Nestlé,Resource,beverages,US_CANADA,1,"Resource, natural spring water"
Nestlé,Shredded Wheat Original,cereals,US_CANADA,1,Shredded Wheat Original
Nestlé,Shreddies,cereals,US_CANADA,1,Shreddies (Original)
Nestlé,Shreddies,cereals,FRANCE|SOUTHERN_EUROPE|UK_IE,1,Shreddies original
Nestlé,Toll House,snacks,US_CANADA,1,"Toll house, cookie dough, oatmeal, raisin, oatmeal, raisin"
Nestlé,Trix Cereal,cereals,US_CANADA,1,Trix Cereal
PepsiCo,7UP,beverages,UK_IE,1,7up
PepsiCo,7UP,beverages,FRANCE|DACH|SOUTHERN_EUROPE,1,7up
PepsiCo,7UP,beverages,FRANCE|UK_IE,1,7up Free
PepsiCo,Doritos,snacks,FRANCE|US_CANADA,1,"Doritos Tortilla Chips Flavored, Nacho Cheese"
PepsiCo,Fritos,snacks,FRANCE|SOUTHERN_EUROPE,1,FRITOS
PepsiCo,Fritos,snacks,UK_IE|US_CANADA,1,Fritos Original Corn Chips 4.0 Ounce Plastic Bag
PepsiCo,Gatorade,snacks,FRANCE|DACH|US_CANADA,1,GATORADE ENERGY BAR PEANUT BUTTER 2.1 oz
PepsiCo,Mountain Dew,beverages,UK_IE,1,Mountain dew
PepsiCo,Pepsi,beverages,BENELUX|FRANCE,1,Pepsi Max
PepsiCo,Pepsi,beverages,FRANCE|NORDICS,1,Pepsi Max
PepsiCo,SodaStream,beverages,FRANCE,1,Sodastream concentré 7up mojito sans sucre
PepsiCo,Walkers,snacks,US_CANADA|FRANCE,1,Walkers Premium Shortbread Cookie Assortment 4.6 Pound Tin
The Coca-Cola Company,Cappy,beverages,UK_IE,1,Cappy
The Coca-Cola Company,Cappy,beverages,FRANCE,1,Cappy pulpy
The Coca-Cola Company,Coca-Cola,dairies,FRANCE|DACH,1,Coca Cola Original
The Coca-Cola Company,Coca-Cola,beverages,FRANCE|NORDICS,1,"Coca-Cola Classic 0,33l"
The Coca-Cola Company,Coca-Cola,beverages,BENELUX|FRANCE|UK_IE|NORDICS|SOUTHERN_EUROPE,1,"Coca-Cola Energy, No Sugar"
The Coca-Cola Company,Coca-Cola,beverages,BENELUX|FRANCE|DACH,1,"coca cola zero 1,25L"
The Coca-Cola Company,Coca-Cola Light,beverages,FRANCE,1,Coca-Cola Light x Jean Paul Gaultier
The Coca-Cola Company,Costa Coffee,snacks,UK_IE,1,Costa coffee all butter shortbread
The Coca-Cola Company,Dr Pepper,beverages,FRANCE|DACH,1,Dr Pepper 1.5Lt .
The Coca-Cola Company,Dr Pepper,beverages,FRANCE,1,Dr Pepper Drink Can
The Coca-Cola Company,Fanta,beverages,DACH|US_CANADA,1,Fanta
The Coca-Cola Company,Fanta,beverages,FRANCE|SOUTHERN_EUROPE,1,Fanta lemon 1l pet
The Coca-Cola Company,Fanta,beverages,BENELUX|FRANCE|DACH,1,Fanta orange
The Coca-Cola Company,Fanta,beverages,BENELUX|FRANCE|SOUTHERN_EUROPE|UK_IE,1,Fanta zero sugar
The Coca-Cola Company,Fanta,beverages,FRANCE|US_CANADA,1,fanta tops lemon 1.5l
The Coca-Cola Company,Honest Tea,beverages,US_CANADA,1,"Honest Tea Ginger Oasis Herbal Tea Glass Bottle, 16 fl oz"
The Coca-Cola Company,Minute Maid,beverages,FRANCE|DACH,1,Minute Maid Pommes
The Coca-Cola Company,Minute Maid,beverages,FRANCE,1,Minute maid
The Coca-Cola Company,SmartWater,beverages,FRANCE|US_CANADA,1,SmartWater
The Coca-Cola Company,SmartWater,beverages,FRANCE|UK_IE,1,Smartwater Petillante
The Coca-Cola Company,Sprite,beverages,FRANCE|NORDICS,1,Sprite
The Coca-Cola Company,Sprite,snacks,FRANCE|SOUTHERN_EUROPE,1,Sprite
The Coca-Cola Company,Sprite,beverages,FRANCE|US_CANADA,1,Sprite Lemon lime soda
The Coca-Cola Company,Sprite,beverages,UK_IE,1,Sprite Lemonl-lime
The Coca-Cola Company,Sprite,beverages,BENELUX|FRANCE|DACH,1,Sprite Zitrone-Limette ohne Zucker
The Hershey Company,Dot's Pretzels,snacks,FRANCE|US_CANADA,1,Dot's pretzels pretzels
The Hershey Company,Hershey's Chocolate,dairies,US_CANADA,1,"Hershey's, chocolate milk"
The Hershey Company,Ice Breakers,snacks,FRANCE|US_CANADA,1,Ice Breakers Cool Mint
The Hershey Company,Ice Breakers,snacks,FRANCE,1,Ice breakers duo
The Hershey Company,Jolly Rancher,cereals,US_CANADA,1,"Jolly Rancher Cereal, Jolly Rancher"
The Hershey Company,Jolly Rancher,snacks,UK_IE,1,Jolly Rancher Sour Surge
The Hershey Company,Jolly Rancher,snacks,FRANCE,1,Jolly rancher lollypop
The Hershey Company,Jolly Rancher,beverages,FRANCE|US_CANADA,1,"Jolly rancher, flavored soda, strawberry"
The Hershey Company,KitKat,snacks,SOUTHERN_EUROPE|US_CANADA,1,KitKat
The Hershey Company,KitKat,snacks,UK_IE|US_CANADA,1,KitKat Caramel X 9
The Hershey Company,KitKat,snacks,DACH|US_CANADA,1,KitKat Churro
The Hershey Company,Reese's,snacks,BENELUX|FRANCE,1,Reese's Cup White King Size
The Hershey Company,Reese's,snacks,US_CANADA|FRANCE,1,Reese's minis
The Hershey Company,Reese's,snacks,US_CANADA|UK_IE,1,Reese's puffs
The Hershey Company,Reese's,snacks,FRANCE|DACH,1,Reese’s Trio
The Hershey Company,Rolo,snacks,US_CANADA|FRANCE,1,Rolo
Unilever,Ben & Jerry's,dairies,DACH|BENELUX|FRANCE,1,Ben & Jerry's Glace Pot Topped Chocolate Caramel Cookie Dough 470ml
Unilever,Ben & Jerry's,dairies,FRANCE,1,Ben & Jerry's Glace Wich Sandwich On The Dough 267ml
Unilever,Ben & Jerry's,dairies,BENELUX|FRANCE|DACH,1,Ben & Jerry's Moophoria Glace Pot Chocolat Cookie 500ml
Unilever,Cornetto,snacks,SOUTHERN_EUROPE|US_CANADA,1,Cornetto chocolate
Unilever,Knorr,beverages,US_CANADA,1,Knorr atole
Unilever,Magnum Ice Cream,beverages,US_CANADA,1,Magnum Ice Cream Double Caramel Iced Coffee
