country_or_market,observed_market_region_codes,category,raw_brand_variants,normalized_brand_candidate,total_product_count,example_product_names,alias_review_decision,approved_normalized_brand,review_reason,mapping_source
United States,US_CANADA,snacks,shoprite; shop rite,shoprite,41,"Baked cheese crackers, cheddar cheese, cheddar cheese | Animal Crackers | Instant sugar free oatmeal, maple & brown sugar, maple & brown sugar | Shoprite, starlight mints candies, mint | Shoprite, cookies, dutch fudge",approve_alias,shoprite,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=18
United States,US_CANADA,snacks,smartfood; smart food,smartfood,41,White cheddar | White Cheddar Popcorn | Fiber Pop | WHITE CHEDDAR | WHITE CHEDDAR HUNCHED POPCORN,approve_alias,smartfood,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=3
France,FRANCE,beverages,reflets de france; carrefour reflets de france; reflets de france carrefour,Reflets de France,40,Pomme de Bretagne 100% pur fruit pressé | Poire Williams du Roussillon | Pêche jaune du Roussillon Nectar de pêche | Abricot du Pays d'Oc | Bas-Armagnac Appellation Armagnac Contrôlée,approve_alias,Reflets de France,curated Carrefour private-label mapping,curated_private_label_mapping
United States,US_CANADA,dairies,bel brands usa; bel brands usa inc; bel; bel brand usa; bel gioioso,bel,40,Creamy original | Extra Sharp Spreadable Cheddar | Spreadable cheese | Port wine spreadable cheddar cheese | Ball cheese,approve_alias,bel,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=39
United States,US_CANADA,snacks,kraft; kraft foods,kraft,40,"Colby Jack Cheese, Dark Chocolate Chunks, Banana Chips Snack Trios, Colby Jack, Dark Chocolate, Banana | Snack Trios Extra Sharp White Cheddar Cheese, Dark Chocolate Chunks, Dried Cranberries, White Cheddar, Dark Chocolate | Monterey Jack Cheese, Dried Cinnamon Apples, Granola Clusters Trios Snack, Monterey Jack Cheese, Dried Cinnamon Apples, Granola Clusters | Snack Mix, Sharp Yellow Cheddar Cheese, Dark Chocolate Chunks, Dried Cherries | Snack Mix, Colby Jack Cheese, Dark Chocolate Chunks, Banana Chips",approve_alias,kraft,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=3
United States,US_CANADA,dairies,la yogurt; layogurt,la yogurt,40,"Probiotic blended lowfat yogurt pina colada | La yogurt, original blended lowfat yogurt, strawberry fruit cup | La Yogurt Probiotic Peach | Probiotic Blended Lowfat Yogurt, Mango | u",approve_alias,la yogurt,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=1
United States,US_CANADA,beverages,member's mark; members mark,member's mark,40,Donut Shop Iced Coffee | Member’s Mark Purified Water | Light orange juice | Sports electrolyte beverage | Unsweetened Vanilla Almond Milk,approve_alias,member's mark,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=19
France,FRANCE,dairies,michel et augustin; michel et augustin les trublions du gout,michel et augustin,40,L'incroyable mousse chocolat noir | La vache en pot - noisettes torréfiées | Vache à boire | Mousse au chocolat | L'incroyable mousse au chocolat au lait,approve_alias,michel et augustin,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=1
United Kingdom,UK_IE,beverages,monster; monster energy monster; monster energy limited,monster,40,Juiced Mango Loco | Zero Sugar Ultra Peachy Keen | Ultra Fantasy Ruby Red | Monster Energy Drink | Monster Energy Zero Sugar,approve_alias,monster,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=8
United States,US_CANADA,snacks,popcorners; pop corners,popcorners,40,Popped Whole Grain Chips | Smokehouse BBQ | Sea Salt Popped-Corn Snacks | White Cheddar | WHITE CHEDDAR FLAVORED,approve_alias,popcorners,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=3
France,FRANCE,beverages,starbucks; starbucks by nespresso,starbucks,40,Starbucks Caramel | Cafe glacé vanille | Capsules de café arabica espresso guatemala | Capsules de café arabica espresso colombia | Lait amande,approve_alias,starbucks,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=9
France,FRANCE,dairies,arla; arla foods,arla,39,Skyr Fraise | Skyr | Emmental | Emmental Slices\Tranches | SKYR raspberry & cranberry,approve_alias,arla,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=4
France,FRANCE,beverages,cotterley; cotterley bio,cotterley,39,"Infusion Tilleul 25 Sachets 1,3 g | Thé citron | Breakfast tea | Breakfast Tea | Thé Caramel",approve_alias,cotterley,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=1
United States,US_CANADA,snacks,dare; dare foods,dare,39,"Dare, pure chocolate whippet cookies, raspberry | Banana Bread Soft Cookies | Fudge Brownie cookies | Dare, bear paws soft cookies | Dare, bear paws, soft cookies, chocolate chip",approve_alias,dare,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=1
United States,US_CANADA,snacks,jack link's; jack links,jack link's,39,"Beef Jerky Teriyaki | Jack link's, chicken jerky, original, original | Peppered beef jerky meat snacks | Jack link's, premium cuts beef jerky, original hickory smokehouse | Jack link's, premium cut turkey jerky, original",approve_alias,jack link's,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=4
United States,US_CANADA,dairies,kemps; kemps llc; kemps select; kemp's,kemps,39,"Light Sour Cream | 1% LOWFAT COTTAGE CHEESE | Kemp select half and half | Holly Egg Nog Flavored Lowfat Milk, Holly Egg Nog | Cottage Cheese",approve_alias,kemps,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=5; heuristic=1
United Kingdom,UK_IE,snacks,lindt; lindt lindor; lindt and sprungli; lindt excellence; lindt classic recipe; lindt and sprungli lindt,lindt,39,Caramel with a touch of sea salt | Lindor Milk Chocolate | Classic Milk Chocolate | Caramel Sea Salt Chocolate | Lindt classic recipe milk chocolate,approve_alias,lindt,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=12
United States,US_CANADA,snacks,miss vickie's; miss vickies,miss vickie's,39,Miss Vicke’s Baja Chipotle Potato Chips | Sour Cream Herb & Onion kettle cooked chips | Applewood Smoke BBQ Chips | Aged Cheddar & Black Pepper Chips | Aged cheddar & black pepper,approve_alias,miss vickie's,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=6
United States,US_CANADA,snacks,schwartz brothers bakery; schwartz brothers bakery seattle,schwartz brothers bakery,39,"Cinnamon Streusel Coffee Cake | Cran-Raspberry Oat & Flax Bars | Flax Bars | Dessert bars | Schwartz brothers bakery, cookies, chocolate chunks",approve_alias,schwartz brothers bakery,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=1
United States,US_CANADA,dairies,spartan; spartan stores inc,spartan,39,"1/2% Lowfat Milk | Lactose Free 2% Reduced Fat Milk | Spartan, light fat free yogurt, cherry, vanilla | Spartan, mild cheddar cheese, mild | 1% Lowfat Milk",approve_alias,spartan,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=8
United Kingdom,UK_IE,snacks,swizzels; swizzels drumstick,swizzels,39,Squashies Drumstick | Squashies rhubarb And Custard | strawberry & cream squashies | Swizzels scrumptious sweets | Sweet shop favorites,approve_alias,swizzels,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=3
France,FRANCE,snacks,ty delice; ty delice sas; ty-delice,ty delice,39,Caramels Nouse au beurre salé | Caramel mous | Caramels mous | Caramels au beurre salé | Galette des Rois à la Frangipane,approve_alias,ty delice,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=1; brand_alias_mapping=1
United States,US_CANADA,snacks,black forest; black forest organic; black forest stretch island,black forest,38,Gummy bears made with real fruit juice | Chillin' Gummies | Gummy worms | Organic gummy forest critters candy made with | Juicy Burst Gummies,approve_alias,black forest,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=2
United States,US_CANADA,snacks,calbee; calbee north america llc,calbee,38,Wheat Puffed Snacks | Wild-caught Shrimp Chips Original Flavored Shrimp Chips | Potato Chips Hot & Spicy CALBEE | Seaweed & Salt Flavored Potato Chips | Potato Chips Honey Butter CALBEE,approve_alias,calbee,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=9
United States,US_CANADA,snacks,creative snacks co. llc; creative snacks co,creative snacks co,38,"Sesame Sticks, Honey Roasted | Coconut super seeds snack | Coconut cranberry nut snack | Creative snacks naturally delicious organic toasted | Organic Toasted Coconut Chips",approve_alias,creative snacks co,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=21
Finland,NORDICS|FRANCE,snacks,fazer; fazer blueberry truffle in milk chocolate,fazer,38,Marianne | Taloussuklaa | Marianne Crisp | Milk Chocolate | Geisha,approve_alias,fazer,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=1
France,FRANCE,dairies,gabriel coulet; gabriel coulet sa,gabriel coulet,38,Roquefort | Roquefort AOP | Roquefort aop | Roquefort Bio | Roquefort AOP bio,approve_alias,gabriel coulet,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=1
United States,US_CANADA,beverages,r.w. knudsen; r.w knudsen; rw knudsen,r.w. knudsen,38,Organic Just Grapefruit Juice | Organic Concord Grape Juice | pomegranate juice | Just Tart Cherry | Cider & Spice,approve_alias,r.w. knudsen,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=2
United States,US_CANADA,beverages,refreshe safeway inc; refreshe safeway,refreshe safeway,38,"Lemon flavored sparkling water beverage | Sparkling water beverage, grapefruit | Sparkling water beverage | Refreshe Purified Drinking Water | Refreshe, safeway, dr. dynamite soda",approve_alias,refreshe safeway,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=35
United States,US_CANADA,beverages,rockstar; rockstar inc; rockstar punched,rockstar,38,Recovery Strawberry Lemonade | Energy Drink | Energy drink big can | Sugarfree energy drink | Rockstar Energy Water,approve_alias,rockstar,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=4
United States,US_CANADA,beverages,sanpellegrino; san pellegrino; sanpellegrino usa inc,sanpellegrino,38,"Ciao Peach | San pellegrino aranciata | Sparkling blood orange beverage with 16% orange juice and 3% blood orange juice from concentrate, aranciata rossa | Blood orange and black raspberry | Sanpellegrino Limonata",approve_alias,sanpellegrino,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=9; brand_alias_mapping=6
France,FRANCE,snacks,skittles; skittles by wrigley,skittles,38,Skittles Original | Original fun size bite size candies | Effem Skittles Orig Super Size | Skittles Tropical | Skittles Original Share Size,approve_alias,skittles,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=1
United Kingdom,UK_IE,snacks,tony's chocolonely; tonys chocolonely,tony's chocolonely,38,Tony’s Chocolonely Chocolate | Milk Chocolate | Easter Egg | Everything Bar | Caramel Milk Rice Crispy,approve_alias,tony's chocolonely,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=6
United States,US_CANADA,snacks,walmart; wal-mart; walmart bakery,walmart,38,"Walmart, mvp valentine candy, chocolate | Cookies | Sugar cookie coloring kit | cashew sweet and salty chewy granola bar | Frosted Sugar Cookies",approve_alias,walmart,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=5; brand_alias_mapping=2
United States,US_CANADA,snacks,365 everyday value whole foods market inc; 365 everyday value whole foods market,365 everyday value whole foods market,37,"Two-bite chocolate chip cookies, chocolate chip | Organic microwave popcorn butter flavor | Coconut fruit bars, coconut | 365 everyday value, tamari rice crackers | 365 everyday value, organic graham bear cookies, chocolate",approve_alias,365 everyday value whole foods market,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=173
United States,US_CANADA,snacks,american importing co. inc; american importing co,american importing co,37,"Yogurt Pretzels | Caramel Nut Clusters | American Importing Company, Inc., Yogurt Pretzels, Strawberry | Banana Chips | Chocolate Banana Chips",approve_alias,american importing co,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=35
United States,US_CANADA,snacks,bettergoods; better goods,bettergoods,37,Sea Salt and Sesame Crackers | Caramel almond and sea salt nut bars | Oat Chocolate Bar with Tart Cherries and Pistachios | 90% Dark Chocolate | 72% Dark Chocolate,approve_alias,bettergoods,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=3
United States,US_CANADA,dairies,brookshire's; brookshires; brooks hires,brookshire's,37,Whole Chocolate Milk | Unsalted Butter | CHIVE & ONION WITH OTHER NATURAL FLAVOR CREAM CHEESE SPREAD | Shredded mozzarella | Greek whole milk plain yogurt,approve_alias,brookshire's,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=7
France,FRANCE,dairies,deluxe; deluxe lidl; de luxe,deluxe,37,camembert de normandie | Fromage | Bouchons du Quercy | Langres A.O.P. | Tiramisú,approve_alias,deluxe,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=28; heuristic=2
United States,US_CANADA,snacks,fannie may; fannie may confections inc,fannie may,37,"Creamy Peanut Butter Center In Our Signature Milk Chocolate Buckeyes | Crunchy pecans in smooth caramel, drenched in rich milk chocolate | Dark chocolate mint and cookie bits | Mint meltaways | Smooth Caramel And Crunchy Pecans, Drenched In Milk Chocolate Pixies, Caramel, Crunchy Pecans",approve_alias,fannie may,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=6
France,FRANCE,beverages,karma; karma kombucha; karma drinks,karma,37,Ginger beer sans alcool | Kombucha Gingembre | Ginger beer | Kombucha Green Tea (12) | Kombucha Pomegranate (12),approve_alias,karma,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=10
United Kingdom,UK_IE,snacks,montezuma's; montezumas,montezuma's,37,DARK CHOCOLATE 100% ABSOLUTE BLACK | Absolute Black Orange & Cocoa Nibs | Darkside Milk Chocolate 51% Cocoa | Giant buttons | Organic Chocolate Buttons (Dark Chocolate),approve_alias,montezuma's,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=6
France,FRANCE,dairies,moulin d'or; moulin dor,moulin d'or,37,Edam | Gouda | Gouda au cumin | Mimolette De Hollande 290G | Mimolette,approve_alias,moulin d'or,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=6
United States,US_CANADA,snacks,the fresh market; the fresh market inc,the fresh market,37,"Strawberry Licorice Wheels Candy, Strawberry | Mixed Root Vegetable Chips | Brownie Bite Tub | French Butter Croissants 4 ct | Cinnamon Scones",approve_alias,the fresh market,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=4
France,FRANCE,beverages,cafe royal; cafe royal switzerland,cafe royal,36,CAFE ROYAL Compatible DG Latte Macchiato x16 | Chai Tea Latte | Café dosettes Lungo x 36 | New aluminum capsules | Lungo Classico,approve_alias,cafe royal,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=1
France,FRANCE,beverages,coeur de pom'; coeur de pom; coeur' de pom; coeur'de pom,coeur de pom',36,Pur jus de Pomme et Poire Cœur de Pom' | Coeur de pom pomme citron | Jus 100% pruneau | Pomme cassis | Coeur de pom Reinette clochard,approve_alias,coeur de pom',"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=13
United Kingdom,UK_IE,dairies,graham's; grahams,graham's,36,"Kefir Yogurt | Green milk | Dairy Gold Top Original Jersey Whole Milk | Skyr, Passion Fruit, Mango & Papaya | Skyr Passion Fruit Pouch",approve_alias,graham's,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=14
France,FRANCE,snacks,ikea; ikea food,ikea,36,Ginger things | Munsbit | Lördagsgodis | Festligt Potato Crisps with Pickled Mushroom Flavour | Chips de pommes de terre salées,approve_alias,ikea,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=1
United States,US_CANADA,dairies,nancy's; nancys,nancy's,36,"Grassfed Vanilla Yogurt | Lowfat yogurt | Lowfat yogurt, vanilla | Nancy's, lowfat yogurt, blueberry | Nancy's, lowfat yogurt, peach",approve_alias,nancy's,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=1
France,FRANCE,beverages,sautter; sautter bio,sautter,36,Pur jus de pomme d'Alsace | Nectar De Griotte | Nectar de framboise SAUTTER | Nectar de myrtille | Nectar abricot,approve_alias,sautter,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=1
United States,US_CANADA,snacks,sprouts; sprouts farmers; sprouts market corner,sprouts,36,Peanut Butter Cookies | White corn tortilla chips | Yellow Corn Tortilla chips | Cheese Curls | Blue Corn,approve_alias,sprouts,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=3
United States,US_CANADA,snacks,sun chips; sunchips,sun chips,36,"Sun chips original | Chips | 100% Whole Grain And Sweet Potato Snacks, Brown Sugar | Sun Chips Harvest Cheddar Flavored | Sun Chips Harvest Cheddar",approve_alias,sun chips,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=1
United States,US_CANADA,beverages,twinings; twinings of london; twinings north america inc,twinings,36,Earl Grey Black Tea | English Breakfast | Camomile and Spiced Apple | Earl grey black tea bags | Irish Breakfast,approve_alias,twinings,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=5
United States,US_CANADA,snacks,welch's; welchs,welch's,36,Fruit n yogurt snacks | Welch's fruit snacks | Fruit snacks | Mixed Fruit Fruit Snacks | Fruit Snacks,approve_alias,welch's,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=1
United States,US_CANADA,beverages,cheribundi; cheribundi inc,cheribundi,35,"Refresh Juice Drink Blend | Refresh juice drink, tart cherry cranberry | Refresh Juice Drink | Juice drink | Juice drink blend",approve_alias,cheribundi,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=8
United States,US_CANADA,dairies,clover sonoma; clover sonoma organic,clover sonoma,35,2% Reduced Fat Milk | Organic fat free milk | Organic 1% low fat milk | organic heavy whipping cream | Organic half & half,approve_alias,clover sonoma,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=1
United States,US_CANADA,beverages,good and gather; good and gather organic; good and gather plant based,good and gather,35,Watermelon Sparkling Water | Tropical cherry sparkling water | Cucumber mint sparkling water | Ginger Peach Sparkling Water | Cranberry citrus sparkling water,approve_alias,good and gather,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=9
United States,US_CANADA,beverages,harris teeter; harris teeter organics,harris teeter,35,"Cranberry concord grape flavored blend of 3 100% juice from concentrate, cranberry concord grape | 100% pure gravenstein apple juice | Seltzer | Seltzer, mandarin orange | Caffeine free cranberry and lime flavored seltzer",approve_alias,harris teeter,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=4
France,FRANCE,snacks,j. d. gross; j.d. gross; j d gross; j.d.gross; jd gross; j.d gross,j. d. gross,35,Mousse au chocolat lait | Mousse à la vanille blanc | Chocolat noir dégustation | Noir dégustation 81% | Chocolat noir bio,approve_alias,j. d. gross,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=28
United States,US_CANADA,snacks,lesser evil; lesserevil,lesser evil,35,"Southern barbecue, baked crunchy black bean chips | Popcorn Himalayan Sweetness | Popcorn Himalayan Pink Salt | POPCORN | Himalayan Gold Popcorn",approve_alias,lesser evil,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=7
United States,US_CANADA,snacks,lily's; lilys,lily's,35,Chocolate salted caramel flavor | Birthday Cake White Chocolate Style Bar | EXTREMELY DARK EXTRA DARK CHOCOLATE STYLE BAR | Lily's dark chocolate covered almonds | Dark Chocolate Style Baking Chips,approve_alias,lily's,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=3
France,FRANCE,snacks,marque repere; marque repere leclerc; marque repere epi d 'or,marque repere,35,Ecuador | Noir extra | Chocours | Apéro roulés | Equador noir Extra 85% cacao,approve_alias,marque repere,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=8
United Kingdom,UK_IE,snacks,organix; organix goodies,organix,35,Summer Fruits Rice Cake Clouds | mini flapjack bites | Banana Soft Oaty Bar | Mini Gingerbread Men | carrot cake soft oaty bars,approve_alias,organix,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=1
France,FRANCE,snacks,saveurs de nos regions; saveurs de nos regions lidl,saveurs de nos regions,35,Lunettes de Romans - Fraise de la Drôme | Gateau Basque A La Cerise Noire | Gâche tranchée | Brioche vendéenne pur beurre | Palets bretons,approve_alias,saveurs de nos regions,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=6
France,FRANCE,snacks,top budget; top budget intermarche,top budget,35,Tartelette goût fraise | Madeleine Coquille | Gaufres molles | Barre pâtissière | Soufflé à la cacahuète,approve_alias,top budget,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=4
France,FRANCE,snacks,carrefour reflets de france; reflets de france; reflets de france carrefour; reflets de france cmi carrefour,Reflets de France,34,Bêtises de Cambrai | Nougat de Montélimar | Galette du Cotentin pur beurre | Lunettes de Romans - Sablés pâtissiers pur beurre | Gâche vendéenne IGP,approve_alias,Reflets de France,curated Carrefour private-label mapping,curated_private_label_mapping
France,FRANCE,beverages,agidra; agidra - sans marque; agidra grand frais,agidra,34,Rooibos | Pur jus clémentine | Nectar Pêche jaune | Jus De Pomme | Jus De Pomme Framboise,approve_alias,agidra,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=6
United States,US_CANADA,dairies,arla; arla foods inc; arla foods production; arla foods amba; arla foods production llc; arla food productions llc,arla,34,"HAVARTI CHIPOTLE & HABANERO | Cream cheese spread | Original cream cheese spread | Blueberry cream cheese spread, blueberry | Herbs & spices",approve_alias,arla,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=20
France,FRANCE,dairies,bernard gaborit; bernard-gaborit,bernard gaborit,34,Yaourts vanille | Yaourt Aux Fruits 0% MG | Yaourt Nature 1 / 2 Ecreme | Yaourts nature | Yaourt Nature Maigre,approve_alias,bernard gaborit,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=1
United States,US_CANADA,beverages,caprisun; capri sun,capri-sun,34,Wild Cherry Drink | Roarinwaters flavored water beverage | Fruit Punch | Summer Blast | Mountain Cooler,approve_alias,capri-sun,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=30; brand_alias_mapping=4
United States,US_CANADA,dairies,emporium selection; emporium selections,emporium,34,Crumbled Blue Cheese | Smoked Gouda | Grated Parmesan cheese | Tuscan Cheese | Spicy Smoked Gouda Cheese,approve_alias,emporium,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=33; brand_alias_mapping=1
United States,US_CANADA,snacks,food lion; foodlion,food lion,34,"Food lion, microwave popcorn, butter | Toaster pastries | Food lion, toaster pastries, frosted strawberry | Fruit & Grain Cereal Bars Apple Cinnamon | Microwave Popcorn, Extra Butter",approve_alias,food lion,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=2
United States,US_CANADA,dairies,land o lakes; land o'lakes; land o' lakes,land o lakes,34,Butter with Canola Oil | BUTTER SALETED | BUTTER WITH OLIVE OIL & SEA SALT | BUTTER SALTED | UNSALTED BUTTER,approve_alias,land o lakes,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=6
France,FRANCE,cereals,markal; markal bio,markal,34,Son d\'avoine | Flocons 5 céréales | Muesli croustillant Chocolat Framboise | Son d'avoine | Son D'avoine,approve_alias,markal,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=1
France,FRANCE|DACH,beverages,migros; migros bio; migros terrasuisse,migros,34,Icetea | Eistee Minze-Melisse | Smoothie | Kult Ice Tea Green Tea | Sirop CASSIS,approve_alias,migros,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=49; brand_alias_mapping=3
France,FRANCE,snacks,mistral; mistral bio,mistral,34,Chips natures | Madeleines longues | Crêpes dentelle | Madeleines pur beurre caramel | Madeleines Orange Talonnées de Chocolat,approve_alias,mistral,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=1
France,FRANCE,beverages,planet bio; planet,planet,34,"Planet | Red mix | Jus de pommes | Pur jus Pommes Ppruneaux | Jus pommes myrtilles PLANET BIO, bocal de",approve_alias,planet,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=32
United States,US_CANADA,beverages,publix; publix deli,publix,34,Original Black Tea Bags | publix original tea | Tagless black tea bags | Nutrition Shake Plus | Sweet Tea,approve_alias,publix,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=2
France,FRANCE,beverages,rauch; rauch bravo,rauch,34,"jus d'orange | Jus d’ananas | Jus de fruit ACE | Nativa Green Tea Lemon, grüner Tee mit Limone | Rauch Bravo Pineapple",approve_alias,rauch,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=1
France,FRANCE,dairies,richesmonts; riches monts,richesmonts,34,Raclette | fromage pour tartiflette | La Fondue recette savoyarde aux 3 fromages | Idées Raclette Classique & Fumée (26% MG) | Duo Raclette (26% MG) Nature & Cumin - 400 g - RichesMonts,approve_alias,richesmonts,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=1
France,FRANCE|SOUTHERN_EUROPE,beverages,solevita; solevita lidl,solevita,34,Zumo de melocoton y uva | A+C+E+fruits | Bio multi rosso - Fruits and veggies : 30% | Piña manzana y uva | Dragon Fruit Zumo Exótico,approve_alias,solevita,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=6
France,FRANCE,beverages,sprite; sprite zero,sprite,34,Zero soda | ZERO SUGAR LEMON-LIME SODA | SPRITE CHERRY | Sprite | Sprite (pack professionnel),approve_alias,sprite,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=1
United States,US_CANADA,snacks,tootsie; tootsie roll industries inc; tootsie roll industries llc; tootsie roll,tootsie,34,"Pops, caramel apple | Caramel Apple Pops | Candy | Tootsie roll, midgees candy | Tootsie caramel apple pops",approve_alias,tootsie,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=8
France,FRANCE,snacks,vidal; vidal golosinas,vidal,34,Rolla Belta - Strawberry flavour | Dulci pica | Vidal Blackberries Jelly Candy | Vidal Mega Sweet Mix Candy Fruit (100 G) | sour redmix al anhar,approve_alias,vidal,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=1
United States,US_CANADA,dairies,alpina; alpina productos alimenticios,alpina,33,"Alpina, artisan granolas greek nonfat yogurt, almond berry | Alpina, greek nonfat yogurt, vanilla bean | Alpina, greek nonfat yogurt, artisan granolas, peach | Alpina, greek nonfat strained yogurt, peach | Alpina, greek non fat strained yogurt, strawberry",approve_alias,alpina,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=1
