off_brands_raw,off_brand_tokens,legacy_primary_brand,brand_entity_raw,brand_entity_source,primary_country,observed_market_region_codes,query_category,product_count,example_product_names
"Ferrero,Kinder",ferrero|kinder,ferrero,kinder,existing_company_brand_mapping_token_match,France,FRANCE,snacks,13,Pingui Framboise | Kinder Pingui Coco | Kinder Pingui Cacao | Kinder Pingui Cacao | Kinder Pingui 4x30g
Pop-tarts,pop tarts,pop tarts,pop-tarts,existing_company_brand_mapping_token_match,United States,US_CANADA,snacks,13,"Frosted Raspberry Flavored Toaster Pastries, Frosted Raspberry | Mer-Mazing Blue Raspberry Flavored Toaster Pastries, Mer-Mazing Blue Raspberry | Frosted Chocolatey Churro Flavored Toaster Pastries, Frosted Chocolatey Churro | Chocolate Flavored Pretzel Toaster Pastries, Chocolate | Frosted raspberry"
"CMI (Carrefour Marchandises Internationales), Carrefour, Groupe Carrefour",cmi carrefour marchandises internationales|carrefour|groupe carrefour,cmi carrefour marchandises internationales,groupe carrefour,existing_company_brand_mapping_token_match,France,FRANCE,dairies,13,Bifidus* saveur vanille | Bifidus* saveur citron | Lait Demi-Écrémé | Emmental Français Est-Central Au lait cru | Crème fraîche épaisse Entière
"Elle & Vire, Elle & Vire Professionnel, Savencia",elle and vire|elle and vire professionnel|savencia,elle and vire,elle & vire,existing_company_brand_mapping_token_match,France,FRANCE,dairies,13,"Cuisinel sauces ""minute"" liaison rapide économique | Crème dessert chocolat | Cream Cheese - Fromage à La Crème 25,5% | Mascarpone | Crème légère Cuisson Advantage"
Lays,lays,lays,Lay’s,existing_company_brand_mapping_token_match,United States,US_CANADA,snacks,13,Lays Stax Original | Dill pickle chips | Lay's Wavy Jerk Chicken | Sweet & Spicy Honey Chips | Kettle cooked Cajun spice
"Simply Balanced, Target Stores",simply balanced|target stores,simply balanced,target stores,existing_company_brand_mapping_token_match,United States,US_CANADA,snacks,13,"Simply balanced, oatmeal raisin cookies | Simply balanced, chocolate chunk cookies | Simply balanced, organic popcorn, dark chocolate peanut butter | Simply balanced, animal cookies, vanilla | Simply balanced, organic whole grain animal cookies"
Mountain dew,mountain dew,mountain dew,Mountain Dew,existing_company_brand_mapping_token_match,United States,US_CANADA,beverages,13,"Soda | Diet Soda | Mountain Dew, Pitch Black Ii, Soda, Grape, Grape | Mountain Dew, Pitch Black Ii, Soda, Grape, Grape | Mountain Dew, Game Fuel, Soda, Citrus Cherry, Citrus Cherry"
"Nestlé, KitKat",nestle|kitkat,nestle,KitKat,top9_portfolio_token_match,France,FRANCE,snacks,12,KitKat | KitKat Uji Matcha (thé vert) | KitKat mini black | KitKat | Cheesecake
KitKat,kitkat,kitkat,KitKat,existing_company_brand_mapping_token_match,United States,US_CANADA,snacks,12,Miniatures milk chocolate valentine& day box | KitKat | Kitkat miniatures crisp wafers in milk chocolate | KitKat Milk chocolate candy bar | Kit kat
"Carrefour, Simpl",carrefour|simpl,carrefour,Simpl,curated_carrefour_private_label_mapping,France,FRANCE|SOUTHERN_EUROPE,snacks,12,Croissants | Pain au Chocolat | Brioche tranchée | Barre pâtissière | Biscuit tablette
Chocapic,chocapic,chocapic,Chocapic,existing_company_brand_mapping_token_match,France,FRANCE,cereals,12,Chocapic Granola | Chocapic Bio | Chocapic | Chocapic | Chocapic
Belvita,belvita,belvita,Belvita,existing_company_brand_mapping_token_match,United Kingdom,UK_IE,snacks,12,Belvita Soft Bakes | Belvita Breakfast Biscuits Milk & Cereal | Apricot soft bakes | belvita baked bar | Soft Bakes Golden Oats
"Panier 0%, Yoplait",panier 0|yoplait,panier 0,yoplait,existing_company_brand_mapping_token_match,France,FRANCE,dairies,12,"Yaourt 0% mat.gr., aux fruits, aromatisé, avec édulcorants | Yaourt 0% mat.gr., aux fruits, aromatisé, avec édulcorants | Yaourt 0% mat.gr., aux fruits, aromatisé, avec édulcorants | Panier de Yoplait J'aime L'Abricot | Yaourt 0% mat.gr., aux fruits, aromatisé, avec édulcorants"
"Cruesli, PepsiCo, Quaker",cruesli|pepsico|quaker,cruesli,quaker,existing_company_brand_mapping_token_match,France,FRANCE,cereals,12,Cruesli au chocolat (Offre Spéciale) | Cruesli chocolat au lait | Cruesli 4 Noix (Format 600 g) | Cruesli chocolat au lait (format familial) | Automne - Hiver - 3 chocolats
"Auchan,Auchan Gourmet",auchan|auchan gourmet,auchan,auchan gourmet,existing_company_brand_mapping_token_match,France,FRANCE,snacks,12,72% Noir intense | 72% Noir intense | Chocolat Noir 72% | Noir fleur de sel | Noir fleur de sel
Pepsi,pepsi,pepsi,Pepsi,existing_company_brand_mapping_token_match,France,FRANCE|SOUTHERN_EUROPE,beverages,12,Pepsi Max | Pepsi | Pepsi Max zero a la lima | Pepsi-cola (diet)-330ml-max Zero Aããcar Uef-portugal | Pepsi
"Monster, Monster Energy Company",monster|monster energy company,monster,Monster Energy,existing_company_brand_mapping_token_match,United States,US_CANADA,beverages,12,"Absolutely Zero Energy Drink | Monster energy, iced tea | Monster, zero calories extra strength energy drink | Absolutely Zero Energy Drink | Energy Drink, Mad Dog Punch"
"Perle de lait nature, Yoplait",perle de lait nature|yoplait,perle de lait nature,yoplait,existing_company_brand_mapping_token_match,France,FRANCE,dairies,12,Perle de lait | Spécialité laitière nature | Spécialité laitière nature | Perle de lait | Spécialité laitière nature
Président,president,president,président,existing_company_brand_mapping_token_match,France,FRANCE|DACH,dairies,12,Beurre Tendre Demi Sel | Beurre doux gastronomique | La Laiterie Bio - Beurre Moulé Doux | Beurre tendre | Crottins
"Nestlé, Perugina",nestle|perugina,nestle,perugina,existing_company_brand_mapping_token_match,France,FRANCE,snacks,12,Milk Chocolate - Premium Chocolate | Perugina Baci Milk Chocolate Bag 143G | Fondente extra tavoletta di cioccolato fondente extra | Inais - Latte Finissimo | Fondente Extra Nocciole
"Activia, Danone",activia|danone,activia,Activia,top9_portfolio_token_match,Belgium,BENELUX|FRANCE,dairies,12,"Activia Fruits (Fraise, Ananas, Cerise, Mangue, Figue, Abricot) 16 Pots | Activia Fruits (Ananas) | Activa (Nature) 12 Pots | Activia (Nature) 16 Pots | Activia Saveur Vanille"
Doritos,doritos,doritos,Doritos,existing_company_brand_mapping_token_match,France,FRANCE|SOUTHERN_EUROPE,snacks,12,Doritos Goût Nacho Cheese | doritos nacho | Triángulos de Maíz Tex-Mex | Chilli pepper sabor a pimiento picante bolsa 150 g | Tex-mex
"Nestlé, Nescafé",nestle|nescafe,nestle,Nescafé,top9_portfolio_token_match,France,FRANCE,beverages,12,"Café soluble | Espresso - Original, 100% arabica | Nescafé sélection décaféiné | Nescafé fine blend | GOLD Barista Style Instant Coffee"
Actimel,actimel,actimel,Actimel,existing_company_brand_mapping_token_match,France,FRANCE,dairies,12,Actimel agrumes et coco | Actimel goût framboise | Actimel système immunitaire | Actimel | actimel nature sans sucre
Milka,milka,milka,Milka,existing_company_brand_mapping_token_match,United States,US_CANADA,snacks,12,Choco moo | Chocolat | Dark Chocolate Confection | Milka Haselnuss | Alpine milk chocolate
Carrefour BIO,carrefour bio,carrefour bio,Carrefour Bio,curated_carrefour_private_label_mapping,France,FRANCE,beverages,12,"Jus d’orange | Dosettes café doux | Cidre bouché de Normandie IGP Brut (4,5 % vol.) Bio | Citron spécialité à diluer | Citronnade citron menthe bio"
"Danette,Danone",danette|danone,danette,Danette,top9_portfolio_token_match,France,FRANCE,dairies,12,Danette caramel | Danette | Le liégeois saveur vanille | Danette Saveur vanille | Danette mousse chocolat saveur noisette
"Kellogg's, Special K",kelloggs|special k,kelloggs,kellogg's,existing_company_brand_mapping_token_match,France,FRANCE,cereals,12,"Special K Nature | Special K aux 3 céréales complètes avec une touche de miel | Spécial K Feuilles de Chocolat Noir (Prix Choc) | Spécial K - Crunchy Muesli : Airelles, graines de courge & amandes | Special K Chocolat Noir"
"Petits filous pots, Yoplait",petits filous pots|yoplait,petits filous pots,yoplait,existing_company_brand_mapping_token_match,France,FRANCE,dairies,12,"Fromage frais sucré aromatisé enrichi en vitamine D | Spécialité laitière sucrée aux fruits à base de Fromage Frais, aromatisée (enrichie en vitamine D) | Petits Filous - Fruits mixés | Spécialité laitière sucrée aux fruits à base de Fromage Frais, aromatisée (enrichie en vitamine D) | Spécialité laitière sucrée aux fruits à base de Fromage Frais, aromatisée (enrichie en vitamine D)"
"Orangina, Schweppes",orangina|schweppes,orangina,Schweppes,existing_company_brand_mapping_token_match,France,FRANCE,beverages,12,Orangina | Schweppes Agrum' | Miss O ! Framboise Light | Schweppes Zero Fraise | Orangina Miss O! Mûre
"Dannon, Activia",dannon|activia,dannon,Dannon,existing_company_brand_mapping_token_match,United States,US_CANADA,dairies,12,Activia 60 Calories Strawberry | Nonfat yogurt | Activia 60 Calories Peach | Activia Base Cherry | Yogurt
Chips Ahoy!,chips ahoy,chips ahoy,Chips Ahoy!,existing_company_brand_mapping_token_match,United States,US_CANADA,snacks,12,"Minis | Chips Ahoy! Chewy | Chips Ahoy!, Soft Chunky Original Cookies, Original | Real Chocolate Chip Cookies | Chips Ahoy! Thins original"
"Casino, Casino Délices, Délices",casino|casino delices|delices,casino,casino delices,existing_company_brand_mapping_token_match,France,FRANCE,snacks,12,Les délicieux sablés aux pommes | Les délicieux sablés aux fruits rouges | Petits Plaisirs saveur Cappuccino au chocolat noir suisse | Les fameux Délischuss au chocolat noir suisse | Mini gâche NATURE x8
"U, U Sans Gluten",u|u sans gluten,u,u sans gluten,existing_company_brand_mapping_token_match,France,FRANCE,snacks,12,"Tuiles saveur crème oignon sans gluten, tubo 170g | Biscuits pépites chocolat | Sablés nappés chocolat au lait sans gluten , paquet de 150g | Petit beurre sans gluten | Bâtonnets chocolat lait sans gluten 125g"
"Carrefour, Reflets de France",carrefour|reflets de france,carrefour,Reflets de France,curated_carrefour_private_label_mapping,France,FRANCE,beverages,12,Pomme de Bretagne 100% pur fruit pressé | Poire Williams du Roussillon | Pêche jaune du Roussillon Nectar de pêche | Abricot du Pays d'Oc | Bas-Armagnac Appellation Armagnac Contrôlée
"Danone, Taillefine, Taillefine yog fruits",danone|taillefine|taillefine yog fruits,danone,taillefine,existing_company_brand_mapping_token_match,France,FRANCE,dairies,12,Taillefine fruits 0% de mg 0% de sucres ajoutes 125gx4 fraise | Taillefine fruits 125x4 cerise | Taillefine fruits 125 g x 4 citron | Taillefine fruits 125 g x 4 mure myrtille | Taillefine fruits 125 g x 4 peche
FUZE TEA,fuze tea,fuze tea,Fuze Tea,existing_company_brand_mapping_token_match,France,FRANCE,beverages,12,Boisson Thé Glacé Pêche | Thé Glacé Menthe Citron Vert | Boisson Thé Glacé Pêche | Thé noir glacé framboise menthe | FuzeTea Thé glacé pêche intense
Lay's,lays,lays,Lay’s,existing_company_brand_mapping_token_match,France,FRANCE|SOUTHERN_EUROPE,snacks,12,Horno Al punto de sal | Al punto de sal | Lay's Campesina 133GR | Xtra gusto barbecue | XTRA BARBECUE
"Fromarsac, Savencia, St Moret",fromarsac|savencia|st moret,fromarsac,st môret,existing_company_brand_mapping_token_match,France,FRANCE,dairies,12,St Môret Léger 8% MG | St Moret Bio - offre découverte | St Moret Léger - format familial | St Môret nature | Apéritif - 24 billes au cœur de figue.
ACTIVIA,activia,activia,Activia,existing_company_brand_mapping_token_match,United States,US_CANADA,dairies,12,Blueberry | Peach | LOW FAT YOGURT 1.5% MILKFAT VIVO | Strawberry Low Fat Yogurt 1.5% Milkfat Vit D | Low Fat Yogurt Drink
Fuze Tea,fuze tea,fuze tea,Fuze Tea,existing_company_brand_mapping_token_match,France,FRANCE,beverages,12,Fuzetea thé glacé peche intense | Fusetea Ananas mangue | Fuze Tea Ready To Drink Peach | Thé noir glacé saveur pêche intense | Fuze tea peach
"CF&R, Le Rustique, Savencia",cf and r|le rustique|savencia,cf and r,le rustique,existing_company_brand_mapping_token_match,France,FRANCE,dairies,12,"Tomme fruitée | Le Rustique Camembert 250g Offre éco | Tomme Fruitée | Camembert 21 % 8 / 8 | Camembert, Le Rustique de Printemps (20% MG)"
"Chaque Jour Sans Gluten, Marque Repère",chaque jour sans gluten|marque repere,chaque jour sans gluten,marque repere,existing_company_brand_mapping_token_match,France,FRANCE,snacks,11,Biscuits sablés nappés au chocolat noir sans gluten | Biscuits sablés framboise sans gluten | Cookies aux Pépites de Chocolat | Mini brownie chocolat ss gluten x8 | Petit beurre sans gluten
Actimel,actimel,actimel,Actimel,existing_company_brand_mapping_token_match,United Kingdom,UK_IE,dairies,11,Original Yogurt Drink | Actimel | Multifruit Yogurt Drink | Actimel Kids - Strawberry Banana | Actimel Kids - Peach
walkers,walkers,walkers,Walkers,existing_company_brand_mapping_token_match,United Kingdom,UK_IE,snacks,11,baked crisps | Oat Shortbread | Shortbread highlanders | ready salted crisps | cheese and onion
ECO+,eco,eco,eco+,existing_company_brand_mapping_token_match,France,FRANCE,dairies,11,Flan caramel | Fromage fondu | Crème légère sucrée | Pointe de Brie (31% MG) au lait pasteurisé | Lait demi-écrémé stérilisé
"Wyler's Light, The Jel Sert Co.",wylers light|the jel sert co,wylers light,Wyler's,existing_company_brand_mapping_token_match,United States,US_CANADA,beverages,11,"Light strawberry lemonade | Low Calorie Drink Mix | Soft drink mix | Wyler's, light low calorie drink mix, cherry, limeade | Low Calorie Drink Mix, Fruit Punch"
"Grany, LU",grany|lu,grany,lu,existing_company_brand_mapping_token_match,France,FRANCE,snacks,11,Barre cereales chocolat | Barre de Céréales Pomme | Grany 3x125gr pomme lot | Grany Riz🍚 soufflé & Chocolat 🍫 | Noix de Coco et Chocolat
"Carrefour BIO, Carrefour",carrefour bio|carrefour,carrefour bio,Carrefour Bio,curated_carrefour_private_label_mapping,France,FRANCE|SOUTHERN_EUROPE,dairies,11,Yaourts nature au lait entier x12 Bio Carrefour | Beurre demi-sel | Crème dessert vanille | Emmental râpé Lait pasteurisé | Queso feta ecológico
"Carrefour BIO, Carrefour",carrefour bio|carrefour,carrefour bio,Carrefour Bio,curated_carrefour_private_label_mapping,France,FRANCE|SOUTHERN_EUROPE,cereals,11,Muesli croustillant chocolat | Boules de maïs au miel | Riz soufflé au chocolat | Céréales chocolat cœur aux noisettes | Cornflakes
Gerber,gerber,gerber,Gerber,existing_company_brand_mapping_token_match,United States,US_CANADA,cereals,11,puffs strawberry apple | Gerber Puffs Vanilla imp | Oatmeal & Barley Apple Cinnamon imp | Rice Single Grain Cereal (Supported Sitter) | Oatmeal Single Grain Cereal (Supported Sitter)
"Casino, Casino Bio",casino|casino bio,casino,casino bio,existing_company_brand_mapping_token_match,France,FRANCE,cereals,11,Muesli croustillant fruits et graines | Muesli croustillant BIO au chocolat | Muesli croustillant bio fruits et de graines casino bio | son d'avoine biologique | Céréales fourrées chocolat noisettes 325g BIO
"Carrefour BIO,Carrefour",carrefour bio|carrefour,carrefour bio,Carrefour Bio,curated_carrefour_private_label_mapping,France,FRANCE,dairies,11,Comté AOP Bio (34 % MG) | Lait écrémé stérilisé UHT | Lait frais ENTIER Microfiltré pour une saveur préservée | Parmigiano Reggiano AOP | Comté
"Carrefour BIO,Carrefour",carrefour bio|carrefour,carrefour bio,Carrefour Bio,curated_carrefour_private_label_mapping,France,FRANCE|SOUTHERN_EUROPE,snacks,11,"Chocolate con LECHE | Fourrés au cacao | Mini crackers Espelta, emmental, granos de sésamo y semillas de lino | Biscuits fourrés au Chocolat noir | Sablés cœur fondant au chocolat"
"Nestlé, Fitness",nestle|fitness,nestle,Fitness,top9_portfolio_token_match,France,FRANCE,cereals,11,Fitness Croquant d'Avoine - Pépites croustillantes d'avoine au bon goût de miel | Fitness Croquant d'avoine | Fitness nutritious energy CHOCOLATE | Fitness chocolat noisette | Fitness original grains entiers d'avoine complète
Nutricia,nutricia,nutricia,Nutricia,existing_company_brand_mapping_token_match,France,FRANCE,dairies,11,Lait 1er Age Nutricia | Neocate advance | Fortimel Extra Arôme Café | Fortimel Diacare | Fortimel Protein arôme vanille
Kellogg's,kelloggs,kelloggs,kellogg's,existing_company_brand_mapping_token_match,France,FRANCE|UK_IE,snacks,11,"Rice Krispies Squares gooey marshmallow | Rice Krispies Squares Chocolate Caramel Snack Bar, (Pack of 4) | Rice Krispies Squares gooey marshmallow | Nutri-Grain Choc Chip Breakfast Bakes 6 x imp | Nutri-Grain Raisin Bake"
"U, U de nos Régions",u|u de nos regions,u,u de nos regions,existing_company_brand_mapping_token_match,France,FRANCE,snacks,11,"Broyes du poitou, 220g | Chips de sarrasin au sel de Guérande 100g | Lunettes de Romans fourrées myrtille origine France UDNR, 350g | Lunettes de Romans fourrées fraise de la Drôme UDNR, 350g | Lunettes de Romans fourrées fraise de la Drôme UDNR, 350g"
CLIF,clif,clif,Clif,existing_company_brand_mapping_token_match,United States,US_CANADA,snacks,11,Blueberry Almond Crisp | COOKIES & CREME ENERGY BAR | Builders Protein Bar | minis Snack-Size Energy Bar | minis snack-size energy bar white chocolate flavored macadamia nut
Nescafé,nescafe,nescafe,Nescafé,existing_company_brand_mapping_token_match,France,FRANCE|SOUTHERN_EUROPE,beverages,11,Decaffeinated instant coffee | Dolce Gusto Bonka Ristretto | Cafè soluble 3 a 1 | Capuccino Mocha Blanco 120G | Azera
"Farmers origins, Nescafe",farmers origins|nescafe,farmers origins,Nescafé,existing_company_brand_mapping_token_match,France,FRANCE,beverages,11,NESCAFE Farmers Origins Colombia x20 | NESCAFE Farmers Origins India x20 | NESCAFÉ Farmers Origins africas x20 | NESCAFÉ Farmers Origins Brazil Nespresso x20 | Farmers Origins Colombia capsules café
M&S,m and s,m and s,m&s,existing_company_brand_mapping_token_match,France,FRANCE,snacks,11,"Chocolate Eclairs | Salted caramel popcorn | Roast Beef & Onion | Popcorn | all butter cookies with white chocolate chunks, candied Sicilian lemon peel & Sicilian lemon extract"
"Nestlé, Nesquik",nestle|nesquik,nestle,Nesquik,top9_portfolio_token_match,France,FRANCE,cereals,11,Céréales Nesquik | NESQUIK Céréales Petit Déjeuner 625g + 20% | Nesquik grand | Nesquik | Nesquik
Evian,evian,evian,Evian,existing_company_brand_mapping_token_match,France,FRANCE|DACH,beverages,11,"Evian 100cl PET | Evian 6x100cl PET | Natural mineral water | Evian 0,75l Glas MW - EW Premium | Evian x Balmain 0,75L Glas Limited Edition"
triscuit,triscuit,triscuit,Triscuit,existing_company_brand_mapping_token_match,United States,US_CANADA,snacks,11,cracked pepper & olive oil | balsamic vinegar & basil crackers | triscuit crackers | roasted garlic | reduced fat triscuit crackers
Eco +,eco,eco,eco+,existing_company_brand_mapping_token_match,France,FRANCE,snacks,11,Madeleine Longue | Barres au caramel façon twix | Chocolat de ménage au lait | Bonbons Goût Menthe-Eucalyptus | Marshmallows
perrier,perrier,perrier,Perrier,existing_company_brand_mapping_token_match,France,FRANCE,beverages,10,Perrier et jus ananas et mangue | Eau Pétillante Citron | Perrier Lemon Drinks | perrier | Pierrier peche
siggi's,siggis,siggis,siggi's,existing_company_brand_mapping_token_match,France,FRANCE,dairies,10,Skyr Nature | Skyr Fraise | Skyr framboise | Skyr vanille | Skyr Nature
NESPRESSO,nespresso,nespresso,Nespresso,existing_company_brand_mapping_token_match,France,FRANCE,beverages,10,Linizio Lungo | NAPOLI | ISPIRAZIONE ITALIANA | Ispirazione Firenze Arpeggio Decaffeinato | vanilla eclair
Eco +,eco,eco,eco+,existing_company_brand_mapping_token_match,France,FRANCE,dairies,10,Emmental | Emmental | Emmental | Gouda jeune | Fromage blanc au lait demi-écrémé 3% de matière grasse
"Carrefour, Simpl",carrefour|simpl,carrefour,Simpl,curated_carrefour_private_label_mapping,France,FRANCE|SOUTHERN_EUROPE,beverages,10,Pomme | Orange Jus à base de concentré | Expresso Capsules | Dosettes Classic | Dosettes forte
"Fuze Tea, Fuzetea",fuze tea|fuzetea,fuze tea,Fuze Tea,existing_company_brand_mapping_token_match,France,FRANCE,beverages,10,Fuze Tea citron | Fuzetea thé glacé | FuzeTea Thé vert glacé saveur mangue & camomille | fuzetea ροδάκινο | Fuzetea Black tea peach hibiscus
Shop Rite,shop rite,shop rite,shoprite,existing_company_brand_mapping_token_match,United States,US_CANADA,cereals,10,"Instant Oatmeal, Raisin & Spice | Scrunchy, sweetened corn cereal, cocoa treats, cocoa treats | Scrunchy, sweetened cereal, mini cookie bites, mini cookie bites | Scrunchy Honey Nut Toasted Oats | Toasted corn cereal with honey & natural almond, crispy honey nut, crispy honey nut"
Fanta,fanta,fanta,Fanta,existing_company_brand_mapping_token_match,France,FRANCE|DACH,beverages,10,Fanta Strawberry | Fanta Green Apple | Kiwi und Strawberry Limo | Fanta exotic | Gusto limone e fiori di sambuco bottiglia dIGPlastica da
Kit Kat,kit kat,kit kat,KitKat,existing_company_brand_mapping_token_match,France,FRANCE,snacks,10,Kit kat cookies crumble | Kit Kat White Crisp Wafers 'N Creme Bar | Kit kat chunky | Kit Kat bites peanut butter | Kit kat
"Kraft Foods, Milka",kraft foods|milka,kraft foods,Milka,existing_company_brand_mapping_token_match,France,FRANCE,snacks,10,Chocolat au lait du Pays Alpin | Chocolat Noisettes entières | Oeufs de Pâques Tendre au lait Milka | Chocolat au lait du Pays Alpin | Chocolat Noisettes entières (Lot de 2)
"Danette, Danette creme dessert, Danone",danette|danette creme dessert|danone,danette,Danette,top9_portfolio_token_match,France,FRANCE,dairies,10,Danette chocolat 125 g x 4 | Danette saveur chocolat noisette 125 g x 4 | Danette Expresso | Danette 125 g x 4 caramel sale | Danette crème dessert noir extra
Nespresso,nespresso,nespresso,Nespresso,existing_company_brand_mapping_token_match,Croatia,FRANCE,beverages,10,RIO DE JANEIRO ESPRESSO | paris Espresso | Napoli | kazaar | Shangai Lungo
"Monster, Monster Energy",monster|monster energy,monster,Monster Energy,existing_company_brand_mapping_token_match,France,FRANCE,beverages,10,Monster | Monster Assault | Juiced Monster - Ripper | Monster Assault Energy | Monster Espresso parfum Espresso et lait
Dr Pepper,dr pepper,dr pepper,Dr Pepper,existing_company_brand_mapping_token_match,France,FRANCE,beverages,10,Dr Pepper Cherry Vanilla | Dr Pepper Cherry | Boisson Gazeuse Cerise | Dr Peper | Dr Pepper
"Lidl, Saveurs de Nos Régions",lidl|saveurs de nos regions,lidl,saveurs de nos regions,existing_company_brand_mapping_token_match,France,FRANCE,dairies,10,Reblochon | Reblochon de Savoie | Reblochon de savoie | Crottin de chavignol | Selles-sur-Cher
Lay's,lays,lays,Lay’s,existing_company_brand_mapping_token_match,France,FRANCE|DACH,snacks,10,Chips paysannes | Chips paysannes nature format familial | Lay's saveur poulet rôti maxi format | Chips recette paysanne nature | Chips saveur poulet rôti
Dr Pepper,dr pepper,dr pepper,Dr Pepper,existing_company_brand_mapping_token_match,United Kingdom,UK_IE,beverages,10,Dr Pepper | Dr Pepper | Dr Pepper Zero Cherry Crush | Dr Pepper | Dr Pepper
Ruffles,ruffles,ruffles,Ruffles,existing_company_brand_mapping_token_match,France,FRANCE,snacks,10,Ruffles sweet & spicy | Chips tomato ketchup | Ruffles chips salees | Chips barbecue | Sticks
St Moret,st moret,st moret,st môret,existing_company_brand_mapping_token_match,France,FRANCE,dairies,10,St moret legers | St moret leger 8%mg | Le Goût Primeur léger 8% mg | Le goût primeur | St Moret
"Côte d'Or, Mondelez",cote dor|mondelez,cote dor,Cote d'Or,top9_portfolio_token_match,France,FRANCE,snacks,10,"Mini Sensation Intense 70% | Caramel Fudge, lot de 2 | Lait Raisins Noisettes entières | L'Original extra intense | Cote 2x180g bloc noir noisette"
"U, U Saveurs, U de nos Régions",u|u saveurs|u de nos regions,u,u saveurs,existing_company_brand_mapping_token_match,France,FRANCE,snacks,10,"Gâche tranchée | Palets breton de Pont Aven paquet 100g | Pastilles Vichy parfum menthe, sachet de 230g | Fines crêpes dentelle de Bretagne au beurre , paquet 120g | Caramel au beurre salé au sel de Guérande , 220g"
"Carrefour BIO, Carrefour",carrefour bio|carrefour,carrefour bio,Carrefour Bio,curated_carrefour_private_label_mapping,Belgium,BENELUX|FRANCE|SOUTHERN_EUROPE,snacks,10,Crackers Espelta 3 semillas | Galletas de arroz inflado rellenas de chocolate y avellana | Petit beurre tablette Chocolat noir | Chocolate negro con naranja | Biscuits Epeautre et Sésame
"Nestlé, Kit Kat",nestle|kit kat,nestle,KitKat,top9_portfolio_token_match,France,FRANCE,snacks,10,Kitkat | KITKAT Tablette Saveur Cookie Dough 99g | Kit kat ruby cocoa beans | Japanese Kit Kat Tamaruya Wasabi | Lapin Crisp Kit Kat
"Casino, Casino Délices, Délices",casino|casino delices|delices,casino,casino delices,existing_company_brand_mapping_token_match,France,FRANCE,dairies,10,Crème brûlée | Mozzarella Di Bufala Campana AOP | Camembert de Normandie Appellation d'Origine Protégée au lait cru | L'éblouissant Tiramisu à la framboise | L'onctueuse Panna Cotta et son coulis à la framboise
Carrefour BIO,carrefour bio,carrefour bio,Carrefour Bio,curated_carrefour_private_label_mapping,France,FRANCE,cereals,10,Flakes d'épeautre | Blé soufflé au miel | muedli floconneux chocolat noisettes | Flocons d’avoine | Muesli floconneux chocolat noisette
"Elle & Vire, Elle&Vire International, Savencia",elle and vire|elle and vire international|savencia,elle and vire,elle & vire,existing_company_brand_mapping_token_match,France,FRANCE,dairies,10,Crème dessert aromatisée saveur vanille stérilisée UHT | Le Nature | Crème dessert aromatisée saveur vanille stérilisée UHT | Dessert lacté pulpé Yaggo! stérilisé UHT - Banane | Crème dessert caramel aromatisée stérilisée UHT
Carr's,carrs,carrs,carr's,existing_company_brand_mapping_token_match,United States,US_CANADA,snacks,10,Rich & Savory Crackers Rosemary | Cheese melts | TABLE WATER CRACKERS ROASTED GARLIC & HERBS | Table Water Crackers Original | Whole Wheat Crackers
Walkers,walkers,walkers,Walkers,existing_company_brand_mapping_token_match,France,FRANCE|UK_IE,snacks,10,Chocolate Chip Shortbread | Cheese Flavour Potato Snacks Multipack (Walkers) | Sensations Roasted Chicken & Thyme Flavour Potato Crisps | Wotsits | Walkers Salt & Vinegar crisps 6 Pack - OUTER PACKAGING ONLY
Milka,milka,milka,Milka,existing_company_brand_mapping_token_match,Bulgaria,FRANCE,snacks,10,Hoppy Bunny | Milka Choco grain | Tender cow | Млечен шоколад | Milka triolade
"Mars, Snickers",mars|snickers,mars,snickers,existing_company_brand_mapping_token_match,France,FRANCE,snacks,10,Snickers mini | Snickers crisp | Snickers | Snickers minis 403g | Snickers Maxi Barres glacées x6
Dannon Light + Fit,dannon light fit,dannon light fit,Dannon,existing_company_brand_mapping_token_match,United States,US_CANADA,dairies,10,light+fit peach | Original vanilla | Greek toasted marshmallow | Greek strawberry cheesecake | key lime pie
Nestlé,nestle,nestle,Les Recettes de l’Atelier,product_name_recovery_nestle_france_snacks,France,FRANCE,snacks,10,"INCOA Les recettes de l'Atelier | les recettes de l atelier | Les recettes de l'atelier cranberries, amandes, noisette | Les Recettes de l'Atelier - Chocolat Noir Noisettes Entières Torréfiées | Recettes de l'atelier - Ganache chocolat & café"
Pop Tarts,pop tarts,pop tarts,pop-tarts,existing_company_brand_mapping_token_match,United States,US_CANADA,snacks,10,Frosted Confetti Cupcake | Unfrosted Blueberry | Poptart | Pop tarts unfrosted strawberry | Frosted Chocolate Fudge
"Nestlé, Kitkat",nestle|kitkat,nestle,KitKat,top9_portfolio_token_match,France,FRANCE,snacks,10,"Barres au chocolat blanc | KITKAT Blanc, 4 barres enrobage blanc, 8x41,5g | KITKAT Mini Mix 240,9g | KITKAT CHUNKY Barre au chocolat au Lait 9x40g | KITKAT Thé vert 3 x 41,5g"
Milka,milka,milka,Milka,existing_company_brand_mapping_token_match,France,FRANCE|US_CANADA,snacks,10,Milka chocolate bar oreo 1x3.52 oz | Milka chocolate bar oreo 1x1.44 oz | Milka chocolate bar oreo 1x10.5 oz | Milka chocolate bar oreo cookies and creme 1x1.44 oz | Milka chocolate tablet milk
