country_or_market,observed_market_region_codes,category,raw_brand_variants,normalized_brand_candidate,approved_normalized_brand,alias_review_decision,mapping_source,review_reason,total_product_count,example_product_names
Belgium,BENELUX|FRANCE|DACH,beverages,carrefour carrefour classic,Carrefour Classic,Carrefour Classic,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,1,Sirop cerise
Czech Republic,FRANCE,snacks,carrefour classic,Carrefour Classic,Carrefour Classic,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,1,Pains au chocolat
France,FRANCE|DACH,beverages,carrefour classic carrefour,Carrefour Classic,Carrefour Classic,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,1,Eau minérale naturelle finement pétillante
Belgium,BENELUX|FRANCE,snacks,carrefour extra,Carrefour Extra,Carrefour Extra,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,1,Noir noisettes entieres
China,FRANCE|SOUTHERN_EUROPE,snacks,carrefour carrefour extra,Carrefour Extra,Carrefour Extra,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,1,Lait noisettes & raisins
France,FRANCE|SOUTHERN_EUROPE|BENELUX,snacks,carrefour carrefour extra,Carrefour Extra,Carrefour Extra,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,1,Génoises saveur poire
Belgium,BENELUX|FRANCE,beverages,carrefour carrefour kids,Carrefour Kids,Carrefour Kids,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,1,Carrefour Kids Eau Minérale Naturelle
Belgium,BENELUX|FRANCE,snacks,carrefour carrefour kids,Carrefour Kids,Carrefour Kids,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,1,Carrefour Classic' Magic Eggs Chocolat
France,FRANCE|SOUTHERN_EUROPE,cereals,carrefour kids,Carrefour Kids,Carrefour Kids,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,1,Miel Numberz - Carrefour Kids
Belgium,BENELUX|FRANCE|SOUTHERN_EUROPE,snacks,carrefour carrefour original,Carrefour Original,Carrefour Original,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,1,Les Palets Recette à la Madeleine
France,FRANCE,beverages,carrefour carrefour original,Carrefour Original,Carrefour Original,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,1,SIROP Orgeat
France,FRANCE|SOUTHERN_EUROPE,snacks,carrefour original,Carrefour Original,Carrefour Original,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,1,Pépites Chocolat Noir
Belgium,BENELUX|FRANCE|SOUTHERN_EUROPE,cereals,carrefour carrefour sensation,Carrefour Sensation,Carrefour Sensation,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,1,Crunchy Chocolat noir intense
United States,US_CANADA,dairies,carrefour sensation,Carrefour Sensation,Carrefour Sensation,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,1,Ayran
Afghanistan,FRANCE,dairies,carrefour carrefour selection,Carrefour Sélection,Carrefour Sélection,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,1,Dame Blanche
Afghanistan,FRANCE,snacks,carrefour carrefour selection groupe carrefour,Carrefour Sélection,Carrefour Sélection,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,1,Tartelette au caramel beurre demi-sel
France,FRANCE|UK_IE,beverages,carrefour selection carrefour,Carrefour Sélection,Carrefour Sélection,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,1,Espresso Corsé
Belgium,BENELUX|FRANCE,beverages,carrefour reflets de france,Reflets de France,Reflets de France,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,1,Floc de Gascogne Appellation d'Origine Contrôlée
Canada,US_CANADA|FRANCE|SOUTHERN_EUROPE,snacks,carrefour reflets de france,Reflets de France,Reflets de France,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,1,Palets Bretons Spécialité de Pont-Aven au beurre
France,FRANCE|DACH,snacks,carrefour reflets de france,Reflets de France,Reflets de France,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,1,Caramel au beurre salé
Algeria,BENELUX|FRANCE,beverages,carrefour simpl,Simpl,Simpl,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,1,Chicorée-café soluble
Belgium,BENELUX|FRANCE|SOUTHERN_EUROPE,cereals,simpl carrefour,Simpl,Simpl,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,1,Pétales de Blé Goût Chocolat
France,FRANCE|DACH,dairies,carrefour simpl,Simpl,Simpl,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,1,Crème Entière Fluide
France,FRANCE|DACH|SOUTHERN_EUROPE,beverages,carrefour simpl,Simpl,Simpl,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,1,Dosettes Dolce
France,FRANCE|UK_IE,beverages,carrefour simpl,Simpl,Simpl,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,1,Jus de citron
Belgium,BENELUX|FRANCE,beverages,carrefour carrefour discount,Simpl,Simpl,manual_review_private_label_line,curated_private_label_mapping,curated Carrefour private-label mapping requires manual confirmation,1,Pamplemousse Boisson aux fruits
Belgium,BENELUX|FRANCE,snacks,carrefour; carrefour carrefour,carrefour,,manual_review_repeated_prefix,heuristic=1,dirty repeated brand prefix was detected or collapsed before alias review,218,Barquettes | 10 pains au lait | Le Petit Beurre | Chocolat au lait | Crackers saveur fromage
France,FRANCE|SOUTHERN_EUROPE,snacks,carrefour terre d'italia; carrefour terre d italia,carrefour terre d'italia,carrefour terre d'italia,approve_alias,heuristic=1,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",4,Amaretti morbidi | Cantucci Toscani IGP alle mandorle | Sospiri di Sardegna | Tegole de la Vallée
France,FRANCE,dairies,bon app carrefour; bon app' carrefour,bon app' carrefour,bon app' carrefour,approve_alias,heuristic=1,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",2,Myrtille | Soupe aux carottes et lait de coco
France,FRANCE,dairies,carrefour en cuisine promocash; carrefour en cuisinepromocash,carrefour en cuisine promocash,carrefour en cuisine promocash,approve_alias,heuristic=1,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",2,Buche de chevre | Burrata
France,FRANCE,snacks,carrefour-le-marche; carrefour le marche; carrefour carrefour le marche; carrefour carrefour-le-marche; carrefour-le-marche gie-bpgr,Carrefour Le Marché,Carrefour Le Marché,manual_review_store_format,retailer_banner_or_store_format,Carrefour store-format/banner string; do not mix with private-label lines,25,Mini Viennoiseries | Galette frangipane 4 parts | Eclairs assortiments | Viennoiserie au pur beurre A.O.P Charentes-Poitou | Brownies
France,FRANCE,dairies,carrefour market; carrefour carrefour market; carrefour market coop jeune montagne jeune montagne sans marque,Carrefour,Carrefour,manual_review_store_format,retailer_banner_or_store_format,Carrefour store-format/banner string; do not mix with private-label lines,13,bleu des causses AOP | Mimolette vieille | Gouda au cumin | Beaufort | Tomme de Savoie
France,FRANCE,snacks,carrefour market; carrefour city,Carrefour,Carrefour,manual_review_store_format,retailer_banner_or_store_format,Carrefour store-format/banner string; do not mix with private-label lines,8,Croissant | Pain chocolat (x 5) | Galette nocciola 6p | Pains aux raisins | Millefeuille
France,FRANCE,dairies,carrefour-le-marche; carrefour le marche; carrefour le marche filiere qualite carrefour,Carrefour Le Marché,Carrefour Le Marché,manual_review_store_format,retailer_banner_or_store_format,Carrefour store-format/banner string; do not mix with private-label lines,6,Comte aop 20 mois | Etorki | morbier AOP FQC | tomme de Savoie | Comté
