matched_top9_company_group,matched_top9_brand,matched_brand_key,candidate_orphan_brand,candidate_orphan_brand_key,current_company_owner,proposed_company_owner_candidates,query_category,primary_country,observed_market_region_codes,match_rule,product_count,example_product_names,example_off_brands_raw,example_barcodes,example_image_urls,suggested_action,review_decision,review_note,final_company_owner,apply_to_mapping,apply_to_mapping_bool,review_decision_clean,target_company_owner,target_normalized_brand,target_primary_brand_db,target_brand_key,target_company_key,product_count_num,applied_by_script
Coca-Cola,Coca-Cola,coca cola,coca cola zero,coca cola zero,Other / not mapped to a company,The Coca-Cola Company,beverages,France,FRANCE,brand_prefix_with_separator,3,Coca cola zero | Coca cola,Coca cola zero | Coca Cola Zero,12277728 | 5000112624632 | 5449000319234,https://images.openfoodfacts.org/images/products/000/001/227/7728/front_fr.3.400.jpg | https://images.openfoodfacts.org/images/products/500/011/262/4632/front_fr.4.400.jpg | https://images.openfoodfacts.org/images/products/544/900/031/9234/front_fr.3.400.jpg,review_prefix_candidate,approve proposed,Coca-Cola variant/company string.,The Coca-Cola Company,True,True,approve proposed,The Coca-Cola Company,Coca-Cola,coca cola zero,coca cola zero,the coca cola company,3,True
Coca-Cola,Dr Pepper,dr pepper,Dr Pepper,dr pepper,Other / not mapped to a company,The Coca-Cola Company,beverages,France,FRANCE|US_CANADA,exact_brand_match,3,Fruit juicy red | Root beer | Diet Dr Pepper,Dr Pepper,78000004083 | 78000052169 | 78000083316,https://images.openfoodfacts.org/images/products/007/800/000/4083/front_en.8.400.jpg | https://images.openfoodfacts.org/images/products/007/800/005/2169/front_en.10.400.jpg | https://images.openfoodfacts.org/images/products/007/800/008/3316/front_en.11.400.jpg,review_prefix_candidate,approve proposed,Dr Pepper routing follows proposed region-specific owner.,The Coca-Cola Company,True,True,approve proposed,The Coca-Cola Company,Dr Pepper,Dr Pepper,dr pepper,the coca cola company,3,True
Danone,Evian,evian,evian infused,evian infused,Other / not mapped to a company,Danone,beverages,France,FRANCE,brand_prefix_with_separator,3,Evian infused kusmi tea thé blanc aromatisé pêche et violette | Infused - Kusmi tea | Evian infused kusmi tea,Evian infused,3068320118154 | 3068320118178 | 3068320118888,https://images.openfoodfacts.org/images/products/306/832/011/8154/front_fr.10.400.jpg | https://images.openfoodfacts.org/images/products/306/832/011/8178/front_fr.10.400.jpg | https://images.openfoodfacts.org/images/products/306/832/011/8888/front_fr.10.400.jpg,review_prefix_candidate,approve proposed,Evian variant/company string.,Danone,True,True,approve proposed,Danone,Evian,evian infused,evian infused,danone,3,True
Nestlé,Fitness,fitness,Fitness,fitness,Other / not mapped to a company,Nestlé,snacks,Belgium,BENELUX|FRANCE|SOUTHERN_EUROPE,exact_brand_match,3,"FITNESS CHOC Barres Céréale 6x23.5g | NESTLE FITNESS Barres de Céréales Nature 6x23,5g | Fitness breakfast cereal bar pêches et abricot","Fitness,Nestlé | Nestlé,Fitness | Nestlé",3387390320008 | 3387390326284 | 5900020029454,https://images.openfoodfacts.org/images/products/338/739/032/0008/front_fr.219.400.jpg | https://images.openfoodfacts.org/images/products/338/739/032/6284/front_fr.71.400.jpg | https://images.openfoodfacts.org/images/products/590/002/002/9454/front_en.6.400.jpg,review_prefix_candidate,map to Cereal Partners Worldwide,Fitness cereal/snack-cereal line in Europe; route to CPW for launch.,Cereal Partners Worldwide,True,True,map to Cereal Partners Worldwide,Cereal Partners Worldwide,Fitness,Fitness,fitness,cereal partners worldwide,3,True
Nestlé,Gourmet,gourmet,gourmet gift concepts,gourmet gift concepts,Other / not mapped to a company,Nestle,snacks,United States,US_CANADA,brand_prefix_with_separator,3,Holiday Snack Tin | Holiday Popcorn Tin,Gourmet Gift Concepts,811627020179 | 811627020193 | 811627020926,,review_prefix_candidate,reject prefix match / keep Other,False/generic prefix: Gourmet* here is not Nestlé Gourmet.,Other / not mapped to a company,False,False,reject prefix match / keep Other,Other / not mapped to a company,Gourmet,gourmet gift concepts,gourmet gift concepts,other not mapped to a company,3,False
Nestlé,Gourmet,gourmet,gourmet guru,gourmet guru,Other / not mapped to a company,Nestle,dairies,United States,US_CANADA,brand_prefix_with_separator,3,"Sky Top Farms, Heavy Whipping Cream | Organic Provolone Cheese | 100% Organic Muenster Cheese",Gourmet Guru,824574003171 | 824574005113 | 824574005120,,review_prefix_candidate,reject prefix match / keep Other,False/generic prefix: Gourmet* here is not Nestlé Gourmet.,Other / not mapped to a company,False,False,reject prefix match / keep Other,Other / not mapped to a company,Gourmet,gourmet guru,gourmet guru,other not mapped to a company,3,False
Nestlé,Gourmet,gourmet,gourmet village,gourmet village,Other / not mapped to a company,Nestle,beverages,United States,US_CANADA,brand_prefix_with_separator,3,Apple cider mix | Hot Chocolate Mix | Hot chocolate mix,Gourmet Village,772291008040 | 772291019749 | 772291021803,,review_prefix_candidate,reject prefix match / keep Other,False/generic prefix: Gourmet* here is not Nestlé Gourmet.,Other / not mapped to a company,False,False,reject prefix match / keep Other,Other / not mapped to a company,Gourmet,gourmet village,gourmet village,other not mapped to a company,3,False
PepsiCo,Lay's,lay s,Lay’s,lays,Other / not mapped to a company,PepsiCo,snacks,Belgium,BENELUX|FRANCE|DACH,brand_prefix_concatenated_review,3,Sticks Chips | Pickles Flavour | Lay's Naturel 20-pack,lays | Lay's,8710398512130 | 8710398601681 | 8710398604606,https://images.openfoodfacts.org/images/products/871/039/851/2130/front_fr.29.400.jpg | https://images.openfoodfacts.org/images/products/871/039/860/1681/front_en.52.400.jpg | https://images.openfoodfacts.org/images/products/871/039/860/4606/front_nl.38.400.jpg,review_prefix_candidate,approve proposed,Lay's spelling/combined-brand variant.,PepsiCo,True,True,approve proposed,PepsiCo,Lay’s,Lay’s,lays,pepsico,3,True
PepsiCo,Lay's,lay s,Lay’s,lays,Other / not mapped to a company,PepsiCo,snacks,Canada,US_CANADA,brand_prefix_concatenated_review,3,Potato Chips | Oven Baked Original Potato Chips | Lay's Potato Chips,Lay's,60410050910 | 60410061039 | 8901491101844,https://images.openfoodfacts.org/images/products/006/041/005/0910/front_en.27.400.jpg | https://images.openfoodfacts.org/images/products/006/041/006/1039/front_fr.3.400.jpg | https://images.openfoodfacts.org/images/products/890/149/110/1844/front_en.32.400.jpg,review_prefix_candidate,approve proposed,Lay's spelling/combined-brand variant.,PepsiCo,True,True,approve proposed,PepsiCo,Lay’s,Lay’s,lays,pepsico,3,True
PepsiCo,Lay's,lay s,Lay’s,lays,Other / not mapped to a company,PepsiCo,snacks,Lithuania,UK_IE,brand_prefix_concatenated_review,3,Potato chips | Barbecue Rib Crisps,Lay's,5900259098245 | 5900259128843 | 5900259130686,https://images.openfoodfacts.org/images/products/590/025/909/8245/front_en.3.400.jpg | https://images.openfoodfacts.org/images/products/590/025/912/8843/front_en.53.400.jpg | https://images.openfoodfacts.org/images/products/590/025/913/0686/front_en.15.400.jpg,review_prefix_candidate,approve proposed,Lay's spelling/combined-brand variant.,PepsiCo,True,True,approve proposed,PepsiCo,Lay’s,Lay’s,lays,pepsico,3,True
PepsiCo,Lay's,lay s,Lay’s,lays,Other / not mapped to a company,PepsiCo,snacks,Poland,UK_IE,brand_prefix_concatenated_review,3,Spicy Paprika flavoured | Lays Papryka | Crisps Paprica,Lay's | Lays,5900259099419 | 5900259133311 | 5900259133335,https://images.openfoodfacts.org/images/products/590/025/909/9419/front_pl.17.400.jpg | https://images.openfoodfacts.org/images/products/590/025/913/3311/front_en.26.400.jpg | https://images.openfoodfacts.org/images/products/590/025/913/3335/front_ro.4.400.jpg,review_prefix_candidate,approve proposed,Lay's spelling/combined-brand variant.,PepsiCo,True,True,approve proposed,PepsiCo,Lay’s,Lay’s,lays,pepsico,3,True
Coca-Cola,Monster Energy,monster energy,monster energy company,monster energy company,Other / not mapped to a company,Monster Beverage Corp,beverages,France,FRANCE,brand_prefix_with_separator,3,Monster Energy (JP) | £1.35 | Monster Energy Ultra Rosa,"Monster Energy Company | Monster Energy Company, Monster EnergyMonster",4897036692288 | 5060517885304 | 70847034643,https://images.openfoodfacts.org/images/products/489/703/669/2288/front_en.9.400.jpg | https://images.openfoodfacts.org/images/products/506/051/788/5304/front_fr.4.400.jpg | https://images.openfoodfacts.org/images/products/007/084/703/4643/front_en.18.400.jpg,review_prefix_candidate,approve proposed,Monster Energy Company string; keep scoped proposed owner.,Monster Beverage Corp,True,True,approve proposed,Monster Beverage Corp,Monster Energy,monster energy company,monster energy company,monster beverage corp,3,True
Nestlé,Munch,munch,munch bunch,munch bunch,Other / not mapped to a company,Nestlé,dairies,United Kingdom,UK_IE,brand_prefix_with_separator,3,squashums | Munch Bunch Squashums Yogurt Drinks Strawberry | Squashums Yogurt Strawberry & Peach,"Munch Bunch, Nestlé | Munch Bunch,Squashums,Nestlé | Munch Bunch,Nestle,Squashums",3023290078976 | 3023291111139 | 50250493,https://images.openfoodfacts.org/images/products/302/329/007/8976/front_en.3.400.jpg | https://images.openfoodfacts.org/images/products/302/329/111/1139/front_en.4.400.jpg | https://images.openfoodfacts.org/images/products/000/005/025/0493/front_en.21.400.jpg,review_prefix_candidate,approve proposed,Munch variant/company string.,Nestlé,True,True,approve proposed,Nestlé,Munch,munch bunch,munch bunch,nestle,3,True
Nestlé,Nescafé,nescafe,nescafe gold,nescafe gold,Other / not mapped to a company,Nestle,beverages,United Kingdom,UK_IE,brand_prefix_with_separator,3,Latte | Nescafe Double Choc Mocha | Aero Golden Honeycomb Mocha,Nescafé Gold | Nescafe Gold,7613287074638 | 8445290161147 | 8445290745323,https://images.openfoodfacts.org/images/products/761/328/707/4638/front_en.3.400.jpg | https://images.openfoodfacts.org/images/products/844/529/016/1147/front_en.8.400.jpg | https://images.openfoodfacts.org/images/products/844/529/074/5323/front_en.3.400.jpg,review_prefix_candidate,approve proposed,Nescafé variant/company string.,Nestlé,True,True,approve proposed,Nestlé,Nescafé,nescafe gold,nescafe gold,nestle,3,True
Danone,Oikos,oikos,oikos triple zero,oikos triple zero,Other / not mapped to a company,Danone,dairies,United States,US_CANADA,brand_prefix_with_separator,3,BLENDED GREEK YOGURT | Wild berry Greek yogurt cup,OIKOS TRIPLE ZERO | Oikos triple zero,36632019622 | 36632020161 | 3667019,https://images.openfoodfacts.org/images/products/003/663/201/9622/front_en.138.400.jpg | https://images.openfoodfacts.org/images/products/003/663/202/0161/front_en.24.400.jpg | https://images.openfoodfacts.org/images/products/000/000/366/7019/front_en.8.400.jpg,review_prefix_candidate,approve proposed,Oikos variant/company string.,Danone,True,True,approve proposed,Danone,Oikos,oikos triple zero,oikos triple zero,danone,3,True
PepsiCo,Pepsi,pepsi,pepsi max,pepsi max,Other / not mapped to a company,PepsiCo,beverages,United Kingdom,UK_IE,brand_prefix_with_separator,3,"Carbonated Low Calorie Cola Flavoured Soft Drink | Pepsi Max Caffeine Free | Captain Morgan spiced rum with Pepsi Max drink, 5,0%",Pepsi Max,4060800130754 | 4060800309167 | 5000281078236,https://images.openfoodfacts.org/images/products/406/080/013/0754/front_en.13.400.jpg | https://images.openfoodfacts.org/images/products/406/080/030/9167/front_en.3.400.jpg | https://images.openfoodfacts.org/images/products/500/028/107/8236/front_nb.3.400.jpg,review_prefix_candidate,approve proposed,Pepsi variant/company string.,PepsiCo,True,True,approve proposed,PepsiCo,Pepsi,pepsi max,pepsi max,pepsico,3,True
PepsiCo,Pepsi,pepsi,pepsico,pepsico,Other / not mapped to a company,PepsiCo,beverages,France,FRANCE|DACH,brand_prefix_concatenated_review,3,Pepsi Max Cherry | Rockstar Energy BerryBlast | Pepsi Dose,"Pepsico | PepsiCo, Rockstar, Rockstar; PepsiCo",4060800159700 | 4060800200563 | 4062139003051,https://images.openfoodfacts.org/images/products/406/080/015/9700/front_de.23.400.jpg | https://images.openfoodfacts.org/images/products/406/080/020/0563/front_fr.3.400.jpg | https://images.openfoodfacts.org/images/products/406/213/900/3051/front_fr.13.400.jpg,review_prefix_candidate,approve proposed,Pepsi variant/company string.,PepsiCo,True,True,approve proposed,PepsiCo,Pepsi,pepsico,pepsico,pepsico,3,True
PepsiCo,Pepsi,pepsi,pepsico,pepsico,Other / not mapped to a company,PepsiCo,beverages,United Kingdom,UK_IE,brand_prefix_concatenated_review,3,Max | Pepsi Electric | Pepsi cream soda 500ml,PepsiCo,4060800171467 | 4062139016570 | 4062139018383,https://images.openfoodfacts.org/images/products/406/080/017/1467/front_en.17.400.jpg | https://images.openfoodfacts.org/images/products/406/213/901/6570/front_en.3.400.jpg | https://images.openfoodfacts.org/images/products/406/213/901/8383/front_en.28.400.jpg,review_prefix_candidate,approve proposed,Pepsi variant/company string.,PepsiCo,True,True,approve proposed,PepsiCo,Pepsi,pepsico,pepsico,pepsico,3,True
Hershey,Reese's,reese s,Reese's,reeses,Other / not mapped to a company,The Hershey Company,snacks,France,FRANCE|DACH,brand_prefix_concatenated_review,3,Nut Bar | Peanut Butter Cups - Minis - Unwrapped,Reese’s | Reese's,34000109197 | 34000702459 | 34000939848,https://images.openfoodfacts.org/images/products/003/400/010/9197/front_fr.7.400.jpg | https://images.openfoodfacts.org/images/products/003/400/070/2459/front_fr.13.400.jpg | https://images.openfoodfacts.org/images/products/003/400/093/9848/front_en.64.400.jpg,review_prefix_candidate,approve proposed,Reese's spelling/combined-brand variant.,The Hershey Company,True,True,approve proposed,The Hershey Company,Reese's,Reese's,reeses,the hershey company,3,True
PepsiCo,Schweppes,schweppes,Schweppes,schweppes,Other / not mapped to a company,Suntory Beverage & Food,beverages,Germany,DACH|US_CANADA,exact_brand_match,3,Wild Berry | Bitter Lemon | Indian Tonic,"Schweppes | Schweppeses, Schweppes",4000140721137 | 5902860411222 | 7610238067442,,review_prefix_candidate,approve proposed,Schweppes is region-scoped; keep proposal for launch.,Suntory Beverage & Food,True,True,approve proposed,Suntory Beverage & Food,Schweppes,Schweppes,schweppes,suntory beverage and food,3,True
PepsiCo,Walkers,walkers,walkers max,walkers max,Other / not mapped to a company,PepsiCo,snacks,United Kingdom,UK_IE,brand_prefix_with_separator,3,pizza hut pepperoni feast crisps | Flamin' Hot Or Not? | Jalapeño & Cheese,walkers Max | Walkers Max | Walkers MAX,5000328022550 | 5000328035338 | 5000328039718,https://images.openfoodfacts.org/images/products/500/032/802/2550/front_en.16.400.jpg | https://images.openfoodfacts.org/images/products/500/032/803/5338/front_en.3.400.jpg | https://images.openfoodfacts.org/images/products/500/032/803/9718/front_en.11.400.jpg,review_prefix_candidate,approve proposed,Walkers crisps/snacks variant.,PepsiCo,True,True,approve proposed,PepsiCo,Walkers,walkers max,walkers max,pepsico,3,True
Kraft Heinz,Wyler's,wyler s,Wyler's,wylers,Other / not mapped to a company,Kraft Heinz,beverages,United States,US_CANADA,brand_prefix_concatenated_review,3,"Zero Sugar Island Punch | Wyler's, sweetened iced tea mix | Wyler's Light Peach Iced Tea",Wyler's,72392344338 | 72392368617 | 772312349183,https://images.openfoodfacts.org/images/products/007/239/234/4338/front_en.3.400.jpg | https://images.openfoodfacts.org/images/products/077/231/234/9183/front_en.3.400.jpg,review_prefix_candidate,approve proposed,Wyler's variant/company string.,Kraft Heinz,True,True,approve proposed,Kraft Heinz,Wyler's,Wyler's,wylers,kraft heinz,3,True
PepsiCo,7UP,7up,7UP,7up,Other / not mapped to a company,PepsiCo,beverages,Canada,US_CANADA|FRANCE,exact_brand_match,2,7up,7up | 7 up,65400000968 | 6541539,https://images.openfoodfacts.org/images/products/006/540/000/0968/front_en.19.400.jpg | https://images.openfoodfacts.org/images/products/000/000/654/1539/front_fr.31.400.jpg,review_prefix_candidate,approve proposed,7UP routing follows proposed region-specific owner.,PepsiCo,True,True,approve proposed,PepsiCo,7UP,7UP,7up,pepsico,2,True
Nestlé,Bakers,bakers,bakers harvest,bakers harvest,Other / not mapped to a company,Nestlé,snacks,United States,US_CANADA,brand_prefix_with_separator,2,Original Style Saltines Crackers | Thin Wheat Crackers,Baker's Harvest,23300400561 | 23300401681,https://images.openfoodfacts.org/images/products/002/330/040/0561/front_en.6.400.jpg | https://images.openfoodfacts.org/images/products/002/330/040/1681/front_en.6.400.jpg,review_prefix_candidate,reject prefix match / keep Other,False/generic/private-label prefix: Baker(s)* here is not Nestlé Bakers.,Other / not mapped to a company,False,False,reject prefix match / keep Other,Other / not mapped to a company,Bakers,bakers harvest,bakers harvest,other not mapped to a company,2,False
Kraft Heinz,Capri Sun,capri sun,Capri Sun,capri sun,Other / not mapped to a company,Capri Sun Group / Coca-Cola Europacific Partners,beverages,France,FRANCE|US_CANADA,exact_brand_match,2,Splash Cooler | CapriSun Super V Fruit & Vegetable Juice Drink,Caprisun | CapriSun,87684000977 | 87684004166,https://images.openfoodfacts.org/images/products/008/768/400/0977/front_en.19.400.jpg | https://images.openfoodfacts.org/images/products/008/768/400/4166/front_en.3.400.jpg,review_prefix_candidate,approve proposed,Capri Sun scoped/partnered owner proposal.,Capri Sun Group / Coca-Cola Europacific Partners,True,True,approve proposed,Capri Sun Group / Coca-Cola Europacific Partners,Capri Sun,Capri Sun,capri sun,capri sun group coca cola europacific partners,2,True
Kraft Heinz,Capri Sun,capri sun,Capri Sun,capri sun,Other / not mapped to a company,Capri Sun Group / Coca-Cola Europacific Partners,beverages,Germany,DACH|US_CANADA,exact_brand_match,2,PACIFIC COOLER Mixed Fruit Flavored Juice from Concentrate | Fruit Punch,CAPRiSUN | Capri Sun,87684000953 | 87684001073,https://images.openfoodfacts.org/images/products/008/768/400/0953/front_en.16.400.jpg | https://images.openfoodfacts.org/images/products/008/768/400/1073/front_en.44.400.jpg,review_prefix_candidate,approve proposed,Capri Sun scoped/partnered owner proposal.,Capri Sun Group / Coca-Cola Europacific Partners,True,True,approve proposed,Capri Sun Group / Coca-Cola Europacific Partners,Capri Sun,Capri Sun,capri sun,capri sun group coca cola europacific partners,2,True
Nestlé,Cheerios,cheerios,Cheerios,cheerios,Other / not mapped to a company,General Mills,cereals,Canada,US_CANADA|FRANCE,exact_brand_match,2,Cheerios | Cheerios au miel et aux noix,"Cheerios | Cheerios, General Mills",65633134652 | 65633279575,https://images.openfoodfacts.org/images/products/006/563/313/4652/front_fr.25.400.jpg | https://images.openfoodfacts.org/images/products/006/563/327/9575/front_fr.32.400.jpg,review_prefix_candidate,map to General Mills,Cheerios US/Canada routing.,General Mills,True,True,map to General Mills,General Mills,Cheerios,Cheerios,cheerios,general mills,2,True
Nestlé,Cheerios,cheerios,Cheerios,cheerios,Other / not mapped to a company,Nestlé,cereals,Bolivia,FRANCE|US_CANADA,exact_brand_match,2,Cheerios Oat Crunch Cinnamon | Multi Grain Cheerios,"Cheerios, General Mills | Cheerios",16000160712 | 16000487697,https://images.openfoodfacts.org/images/products/001/600/016/0712/front_en.4.400.jpg | https://images.openfoodfacts.org/images/products/001/600/048/7697/front_en.38.400.jpg,review_prefix_candidate,map to Cereal Partners Worldwide,Cheerios Europe/non-US MVP routing.,Cereal Partners Worldwide,True,True,map to Cereal Partners Worldwide,Cereal Partners Worldwide,Cheerios,Cheerios,cheerios,cereal partners worldwide,2,True
Nestlé,Chef,chef,chef mj,chef mj,Other / not mapped to a company,Nestlé,snacks,United States,US_CANADA,brand_prefix_with_separator,2,"Cream Cheese, Bacon And Jalapeno Coated With Corn Tortilla Chips | Tortilla Chips Bites",Chef Mj,762574000649 | 762574000687,,review_prefix_candidate,reject prefix match / keep Other,False/generic prefix: Chef* here is not Nestlé Chef.,Other / not mapped to a company,False,False,reject prefix match / keep Other,Other / not mapped to a company,Chef,chef mj,chef mj,other not mapped to a company,2,False
Nestlé,Chef,chef,chef select,chef select,Other / not mapped to a company,Nestlé,beverages,Belgium,BENELUX|UK_IE,brand_prefix_with_separator,2,"Apple, Mango, Spinach & Avocado Smoothie | Ginger Shot",Chef Select,4056489217435 | 4056489373964,https://images.openfoodfacts.org/images/products/405/648/921/7435/front_en.30.400.jpg | https://images.openfoodfacts.org/images/products/405/648/937/3964/front_pl.12.400.jpg,review_prefix_candidate,reject prefix match / keep Other,False/generic prefix: Chef* here is not Nestlé Chef.,Other / not mapped to a company,False,False,reject prefix match / keep Other,Other / not mapped to a company,Chef,chef select,chef select,other not mapped to a company,2,False
Nestlé,Chef,chef,chef select,chef select,Other / not mapped to a company,Nestlé,beverages,France,FRANCE,brand_prefix_with_separator,2,Paradiso Sauerkirsch Nektar | Green shot,"Chef select, RSG | Chef Select",20611422 | 4056489679721,https://images.openfoodfacts.org/images/products/000/002/061/1422/front_fr.10.400.jpg | https://images.openfoodfacts.org/images/products/405/648/967/9721/front_fr.13.400.jpg,review_prefix_candidate,reject prefix match / keep Other,False/generic prefix: Chef* here is not Nestlé Chef.,Other / not mapped to a company,False,False,reject prefix match / keep Other,Other / not mapped to a company,Chef,chef select,chef select,other not mapped to a company,2,False
Nestlé,Chef,chef,chef select to go,chef select to go,Other / not mapped to a company,Nestlé,beverages,Belgium,BENELUX|FRANCE,brand_prefix_with_separator,2,"Orange Fraise | Smoothie pomme, raisin, fraise, cassis, mûre",CHEF SELECT TO GO | Chef Select to go,20663599 | 20803902,https://images.openfoodfacts.org/images/products/000/002/066/3599/front_fr.4.400.jpg | https://images.openfoodfacts.org/images/products/000/002/080/3902/front_fr.131.400.jpg,review_prefix_candidate,reject prefix match / keep Other,False/generic prefix: Chef* here is not Nestlé Chef.,Other / not mapped to a company,False,False,reject prefix match / keep Other,Other / not mapped to a company,Chef,chef select to go,chef select to go,other not mapped to a company,2,False
Nestlé,Chef,chef,chef to go select,chef to go select,Other / not mapped to a company,Nestlé,beverages,France,FRANCE,brand_prefix_with_separator,2,Smoothie | Jus de fruits Orange & Fraise,Chef to go select | CHEF TO GO SELECT,17557696 | 20977320,https://images.openfoodfacts.org/images/products/000/001/755/7696/front_fr.4.400.jpg | https://images.openfoodfacts.org/images/products/000/002/097/7320/front_en.6.400.jpg,review_prefix_candidate,reject prefix match / keep Other,False/generic prefix: Chef* here is not Nestlé Chef.,Other / not mapped to a company,False,False,reject prefix match / keep Other,Other / not mapped to a company,Chef,chef to go select,chef to go select,other not mapped to a company,2,False
Mondelez,Chips Ahoy!,chips ahoy,Chips Ahoy!,chips ahoy,Other / not mapped to a company,Mondelez International,snacks,France,FRANCE,exact_brand_match,2,Original Cookies | Brownie chocolate intenso,Chips Ahoy! | Chips Ahoy,66721006684 | 7622210968746,https://images.openfoodfacts.org/images/products/006/672/100/6684/front_en.21.400.jpg | https://images.openfoodfacts.org/images/products/762/221/096/8746/front_fr.21.400.jpg,review_prefix_candidate,approve proposed,Chips Ahoy! variant/company string.,Mondelēz International,True,True,approve proposed,Mondelēz International,Chips Ahoy!,Chips Ahoy!,chips ahoy,mondelez international,2,True
Mondelez,Clif,clif,cliff,cliff,Other / not mapped to a company,Mondelez International,cereals,United States,US_CANADA,brand_prefix_concatenated_review,2,"White chocolate macadamia nut energy granola, white chocolate macadamia nut | Blueberry crisp energy granola, blueberry crisp",Cliff,722252922014 | 722252922052,https://images.openfoodfacts.org/images/products/072/225/292/2014/front_en.3.400.jpg | https://images.openfoodfacts.org/images/products/072/225/292/2052/front_en.3.400.jpg,review_prefix_candidate,approve proposed,Clif/Clif Bar variant.,Mondelēz International,True,True,approve proposed,Mondelēz International,Clif,cliff,cliff,mondelez international,2,True
Coca-Cola,Coca-Cola,coca cola,coca cola company,coca cola company,Other / not mapped to a company,The Coca-Cola Company,beverages,Belgium,BENELUX|FRANCE|DACH,brand_prefix_with_separator,2,Fanta orange | 3CL CAN TUTTI FRUTTI FANTA,Coca-Cola Company,5449000287038 | 5449000334534,https://images.openfoodfacts.org/images/products/544/900/028/7038/front_nl.24.400.jpg | https://images.openfoodfacts.org/images/products/544/900/033/4534/front_it.20.400.jpg,review_prefix_candidate,approve proposed,Coca-Cola variant/company string.,The Coca-Cola Company,True,True,approve proposed,The Coca-Cola Company,Coca-Cola,coca cola company,coca cola company,the coca cola company,2,True
Coca-Cola,Coca-Cola,coca cola,coca cola europacific partners norge as,coca cola europacific partners norge as,Other / not mapped to a company,The Coca-Cola Company,beverages,France,FRANCE,brand_prefix_with_separator,2,Powerade Citrus Lime Ion4 Pet | Coca Cola,Coca-cola europacific partners norge as,50112814 | 5449000187185,https://images.openfoodfacts.org/images/products/000/005/011/2814/front_fr.19.400.jpg | https://images.openfoodfacts.org/images/products/544/900/018/7185/front_fr.11.400.jpg,review_prefix_candidate,approve proposed,Coca-Cola variant/company string.,The Coca-Cola Company,True,True,approve proposed,The Coca-Cola Company,Coca-Cola,coca cola europacific partners norge as,coca cola europacific partners norge as,the coca cola company,2,True
Coca-Cola,Coca-Cola,coca cola,coca cola european partners norge a,coca cola european partners norge a,Other / not mapped to a company,The Coca-Cola Company,beverages,France,FRANCE|NORDICS,brand_prefix_with_separator,2,"Sprite | Coca-Cola Classic 0,33l",COCA-COLA EUROPEAN PARTNERS NORGE A,5000112634136 | 54490703,https://images.openfoodfacts.org/images/products/500/011/263/4136/front_nb.40.400.jpg | https://images.openfoodfacts.org/images/products/000/005/449/0703/front_en.49.400.jpg,review_prefix_candidate,approve proposed,Coca-Cola variant/company string.,The Coca-Cola Company,True,True,approve proposed,The Coca-Cola Company,Coca-Cola,coca cola european partners norge a,coca cola european partners norge a,the coca cola company,2,True
Coca-Cola,Coca-Cola,coca cola,cocacola,cocacola,Other / not mapped to a company,The Coca-Cola Company,beverages,France,FRANCE,brand_prefix_concatenated_review,2,Coca Cola Life | Sprite,Cocacola,5449000052384 | 88009190632,https://images.openfoodfacts.org/images/products/544/900/005/2384/front_fr.4.400.jpg | https://images.openfoodfacts.org/images/products/008/800/919/0632/front_fr.10.400.jpg,review_prefix_candidate,approve proposed,Coca-Cola variant/company string.,The Coca-Cola Company,True,True,approve proposed,The Coca-Cola Company,Coca-Cola,cocacola,cocacola,the coca cola company,2,True
Danone,Dannon,dannon,dannon light and fit,dannon light and fit,Other / not mapped to a company,Danone,dairies,United States,US_CANADA,brand_prefix_with_separator,2,Greek Brownie Sundae | Yogurt,Dannon Light & Fit | Dannon light and fit,36632024961 | 36632037329,https://images.openfoodfacts.org/images/products/003/663/202/4961/front_en.144.400.jpg | https://images.openfoodfacts.org/images/products/003/663/203/7329/front_en.24.400.jpg,review_prefix_candidate,approve proposed,Dannon variant/company string.,Danone,True,True,approve proposed,Danone,Dannon,dannon light and fit,dannon light and fit,danone,2,True
Danone,Danone,danone,danonedanette,danonedanette,Other / not mapped to a company,Danone,dairies,France,FRANCE,brand_prefix_concatenated_review,2,Danette Yogurt Vanilla,DanoneDanette,3033491432989 | 56800911862,https://images.openfoodfacts.org/images/products/303/349/143/2989/front_en.33.400.jpg | https://images.openfoodfacts.org/images/products/005/680/091/1862/front_fr.3.400.jpg,review_prefix_candidate,approve proposed,Danone variant/company string.,Danone,True,True,approve proposed,Danone,Danone,danonedanette,danonedanette,danone,2,True
Coca-Cola,Diet Coke,diet coke,diet coke plus,diet coke plus,Other / not mapped to a company,The Coca-Cola Company,beverages,United States,US_CANADA,brand_prefix_with_separator,2,Diet Cola,Diet coke plus,49000048087 | 4909806,,review_prefix_candidate,approve proposed,Diet Coke variant/company string.,The Coca-Cola Company,True,True,approve proposed,The Coca-Cola Company,Diet Coke,diet coke plus,diet coke plus,the coca cola company,2,True
Nestlé,Essentia,essentia,essential living foods,essential living foods,Other / not mapped to a company,Nestlé,beverages,United States,US_CANADA,brand_prefix_concatenated_review,2,"Essential living foods, organic wild protein smoothie mix, creamy coconut + greens | Essential living foods, coco gogo energy elixir chocolate drink mix",Essential Living Foods,812986015769 | 812986016452,,review_prefix_candidate,reject prefix match / keep Other,False prefix: essential* is not Essentia unless explicitly Essentia.,Other / not mapped to a company,False,False,reject prefix match / keep Other,Other / not mapped to a company,Essentia,essential living foods,essential living foods,other not mapped to a company,2,False
